dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,379.95,381.4,377.95,379.55,9977.0
2026-05-29 09:20:00+05:30,380.7,380.9,377.55,377.55,3552.0
2026-05-29 09:25:00+05:30,377.55,378.7,376.85,378.15,6231.0
2026-05-29 09:30:00+05:30,377.85,378.55,376.4,376.95,2805.0
2026-05-29 09:35:00+05:30,376.5,378.0,376.5,377.35,1500.0
2026-05-29 09:40:00+05:30,377.25,378.2,376.7,377.5,1425.0
2026-05-29 09:45:00+05:30,376.7,377.5,376.7,377.35,4035.0
2026-05-29 09:50:00+05:30,377.5,377.5,375.8,375.8,2347.0
2026-05-29 09:55:00+05:30,375.55,375.55,374.05,374.4,3264.0
2026-05-29 10:00:00+05:30,374.25,374.75,374.0,374.4,668.0
2026-05-29 10:05:00+05:30,374.4,375.0,374.0,375.0,3051.0
2026-05-29 10:10:00+05:30,375.0,375.0,374.5,374.75,1426.0
2026-05-29 10:15:00+05:30,374.95,375.25,374.45,375.25,4134.0
2026-05-29 10:20:00+05:30,375.25,375.5,374.9,375.35,283.0
2026-05-29 10:25:00+05:30,375.75,375.75,375.35,375.35,108.0
2026-05-29 10:30:00+05:30,375.4,375.9,375.35,375.35,903.0
2026-05-29 10:35:00+05:30,376.25,377.0,376.25,376.5,1606.0
2026-05-29 10:40:00+05:30,376.5,377.15,376.5,376.65,782.0
2026-05-29 10:45:00+05:30,376.65,377.1,376.15,376.15,549.0
2026-05-29 10:50:00+05:30,376.15,376.15,374.75,375.0,1652.0
2026-05-29 10:55:00+05:30,375.0,375.7,374.0,375.2,5158.0
2026-05-29 11:00:00+05:30,375.2,375.2,374.85,374.85,46.0
2026-05-29 11:05:00+05:30,375.0,375.0,374.4,374.4,603.0
2026-05-29 11:10:00+05:30,374.4,374.9,374.4,374.85,115.0
2026-05-29 11:15:00+05:30,374.65,374.95,374.65,374.65,251.0
2026-05-29 11:20:00+05:30,374.65,374.95,374.65,374.95,788.0
2026-05-29 11:25:00+05:30,374.7,374.95,374.0,374.75,4255.0
2026-05-29 11:30:00+05:30,374.65,374.85,374.25,374.25,696.0
2026-05-29 11:35:00+05:30,374.25,374.75,374.25,374.7,405.0
2026-05-29 11:40:00+05:30,374.7,374.7,374.35,374.4,193.0
2026-05-29 11:45:00+05:30,374.4,374.95,374.4,374.9,770.0
2026-05-29 11:50:00+05:30,374.9,374.9,374.5,374.9,180.0
2026-05-29 11:55:00+05:30,374.9,374.95,374.9,374.95,75.0
2026-05-29 12:00:00+05:30,374.95,375.0,374.5,374.95,368.0
2026-05-29 12:05:00+05:30,374.55,374.95,374.5,374.5,281.0
2026-05-29 12:10:00+05:30,374.9,374.9,373.0,373.0,5016.0
2026-05-29 12:15:00+05:30,373.0,373.7,372.85,373.7,2383.0
2026-05-29 12:20:00+05:30,373.65,373.65,373.1,373.5,299.0
2026-05-29 12:25:00+05:30,373.65,374.0,373.3,374.0,1184.0
2026-05-29 12:30:00+05:30,374.3,374.3,373.15,373.15,364.0
2026-05-29 12:35:00+05:30,373.15,373.9,373.0,373.9,498.0
2026-05-29 12:40:00+05:30,373.25,373.65,373.25,373.25,1063.0
2026-05-29 12:45:00+05:30,373.25,373.35,373.25,373.35,24.0
2026-05-29 12:50:00+05:30,373.25,373.25,372.0,372.0,4094.0
2026-05-29 12:55:00+05:30,373.05,373.05,372.2,372.85,1191.0
2026-05-29 13:00:00+05:30,372.85,372.85,372.05,372.05,890.0
2026-05-29 13:05:00+05:30,372.75,372.75,370.0,370.55,19061.0
2026-05-29 13:10:00+05:30,370.55,371.0,370.15,370.15,869.0
2026-05-29 13:15:00+05:30,370.0,371.45,370.0,370.95,647.0
2026-05-29 13:20:00+05:30,370.95,371.4,370.9,370.9,87.0
2026-05-29 13:25:00+05:30,371.0,371.35,370.65,371.35,1325.0
2026-05-29 13:30:00+05:30,371.35,371.45,370.75,371.45,129.0
2026-05-29 13:35:00+05:30,371.45,371.5,371.05,371.5,214.0
2026-05-29 13:40:00+05:30,371.1,371.3,370.8,370.8,1084.0
2026-05-29 13:45:00+05:30,370.8,371.0,370.35,370.35,755.0
2026-05-29 13:50:00+05:30,370.3,370.75,370.2,370.5,2035.0
2026-05-29 13:55:00+05:30,370.6,370.7,370.05,370.7,2296.0
2026-05-29 14:00:00+05:30,370.7,370.8,370.4,370.4,233.0
2026-05-29 14:05:00+05:30,370.25,371.15,370.25,370.95,668.0
2026-05-29 14:10:00+05:30,371.15,371.25,370.3,370.95,1454.0
2026-05-29 14:15:00+05:30,370.8,371.0,370.75,371.0,151.0
2026-05-29 14:20:00+05:30,370.9,371.45,370.9,371.45,733.0
2026-05-29 14:25:00+05:30,371.6,371.85,371.6,371.85,415.0
2026-05-29 14:30:00+05:30,371.45,371.85,371.25,371.25,1422.0
2026-05-29 14:35:00+05:30,371.6,371.6,370.95,371.05,1077.0
2026-05-29 14:40:00+05:30,371.0,371.5,370.75,370.75,286.0
2026-05-29 14:45:00+05:30,370.75,371.75,370.75,371.7,1644.0
2026-05-29 14:50:00+05:30,371.1,372.0,371.1,371.95,1370.0
2026-05-29 14:55:00+05:30,371.75,371.75,371.1,371.1,1020.0
2026-05-29 15:00:00+05:30,371.0,371.4,370.0,370.0,6313.0
2026-05-29 15:05:00+05:30,370.0,370.2,369.5,370.0,7301.0
2026-05-29 15:10:00+05:30,370.3,370.3,367.1,368.1,8517.0
2026-05-29 15:15:00+05:30,368.0,368.8,367.4,368.1,5273.0
2026-05-29 15:20:00+05:30,368.0,368.4,367.4,368.4,3532.0
2026-05-29 15:25:00+05:30,368.4,372.85,368.15,371.0,6864.0
2026-06-01 09:15:00+05:30,369.25,369.4,366.3,369.0,7072.0
2026-06-01 09:20:00+05:30,369.35,369.35,367.05,367.6,4321.0
2026-06-01 09:25:00+05:30,367.5,367.8,366.6,366.75,3867.0
2026-06-01 09:30:00+05:30,366.9,368.55,366.9,367.5,3552.0
2026-06-01 09:35:00+05:30,367.0,367.45,366.0,367.45,4316.0
2026-06-01 09:40:00+05:30,368.5,368.5,367.45,368.0,2748.0
2026-06-01 09:45:00+05:30,368.5,368.5,363.35,364.7,12769.0
2026-06-01 09:50:00+05:30,364.7,364.85,362.85,363.05,7066.0
2026-06-01 09:55:00+05:30,363.05,364.05,363.05,363.95,1118.0
2026-06-01 10:00:00+05:30,363.95,363.95,361.4,362.05,2776.0
2026-06-01 10:05:00+05:30,362.05,362.05,358.95,359.0,55836.0
2026-06-01 10:10:00+05:30,359.8,360.55,359.4,360.55,7303.0
2026-06-01 10:15:00+05:30,360.55,360.9,357.5,360.4,23718.0
2026-06-01 10:20:00+05:30,360.9,363.3,360.9,363.2,4302.0
2026-06-01 10:25:00+05:30,363.95,363.95,363.0,363.55,1160.0
2026-06-01 10:30:00+05:30,363.6,363.85,363.05,363.35,1592.0
2026-06-01 10:35:00+05:30,363.75,364.0,363.35,364.0,738.0
2026-06-01 10:40:00+05:30,364.0,366.0,364.0,365.35,3441.0
2026-06-01 10:45:00+05:30,366.0,368.6,366.0,367.55,4040.0
2026-06-01 10:50:00+05:30,366.9,367.4,366.25,367.2,1425.0
2026-06-01 10:55:00+05:30,366.9,368.2,366.9,367.95,3328.0
2026-06-01 11:00:00+05:30,368.35,369.0,367.5,367.5,3763.0
2026-06-01 11:05:00+05:30,368.15,368.5,367.15,368.15,4793.0
2026-06-01 11:10:00+05:30,368.0,368.9,368.0,368.6,838.0
2026-06-01 11:15:00+05:30,368.6,371.0,368.6,370.8,5983.0
2026-06-01 11:20:00+05:30,370.25,370.6,369.1,369.1,977.0
2026-06-01 11:25:00+05:30,369.0,369.0,367.15,367.15,2147.0
2026-06-01 11:30:00+05:30,367.15,367.15,366.35,366.65,945.0
2026-06-01 11:35:00+05:30,366.65,366.75,366.45,366.6,1119.0
2026-06-01 11:40:00+05:30,366.6,366.7,366.2,366.5,193.0
2026-06-01 11:45:00+05:30,366.5,366.5,365.2,365.35,2142.0
2026-06-01 11:50:00+05:30,365.35,365.9,365.35,365.35,115.0
2026-06-01 11:55:00+05:30,365.35,366.15,365.25,365.6,379.0
2026-06-01 12:00:00+05:30,365.25,365.7,365.2,365.7,119.0
2026-06-01 12:05:00+05:30,365.65,366.45,365.2,365.65,1710.0
2026-06-01 12:10:00+05:30,365.65,366.65,365.5,365.5,1180.0
2026-06-01 12:15:00+05:30,366.05,366.05,365.2,365.2,992.0
2026-06-01 12:20:00+05:30,365.2,365.25,365.2,365.25,162.0
2026-06-01 12:25:00+05:30,365.25,366.0,365.25,366.0,167.0
2026-06-01 12:30:00+05:30,366.1,366.75,366.05,366.05,209.0
2026-06-01 12:35:00+05:30,366.05,366.05,365.5,365.5,2077.0
2026-06-01 12:40:00+05:30,365.5,365.5,365.05,365.05,2891.0
2026-06-01 12:45:00+05:30,364.8,364.95,364.3,364.45,328.0
2026-06-01 12:50:00+05:30,364.45,364.95,364.45,364.95,17.0
2026-06-01 12:55:00+05:30,365.05,365.05,365.0,365.0,302.0
2026-06-01 13:00:00+05:30,365.0,365.05,364.75,364.75,67.0
2026-06-01 13:05:00+05:30,364.75,364.75,364.7,364.7,3072.0
2026-06-01 13:10:00+05:30,364.75,364.75,364.1,364.65,836.0
2026-06-01 13:15:00+05:30,364.65,364.75,364.15,364.2,93.0
2026-06-01 13:20:00+05:30,364.2,364.75,364.2,364.65,103.0
2026-06-01 13:25:00+05:30,364.05,364.05,363.5,363.5,790.0
2026-06-01 13:30:00+05:30,363.95,364.7,363.9,364.7,317.0
2026-06-01 13:35:00+05:30,364.5,364.5,363.5,364.35,1333.0
2026-06-01 13:40:00+05:30,363.6,364.0,363.5,363.5,329.0
2026-06-01 13:45:00+05:30,363.5,363.5,363.5,363.5,269.0
2026-06-01 13:50:00+05:30,363.5,363.65,363.15,363.65,253.0
2026-06-01 13:55:00+05:30,363.65,363.65,362.8,362.8,1647.0
2026-06-01 14:00:00+05:30,362.8,363.05,362.6,362.65,1146.0
2026-06-01 14:05:00+05:30,362.65,363.2,362.55,362.85,2585.0
