dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,12.5,13.39,12.33,12.55,2670615.0
2026-05-29 09:20:00+05:30,12.59,12.79,12.54,12.56,1054357.0
2026-05-29 09:25:00+05:30,12.52,12.54,12.36,12.45,900999.0
2026-05-29 09:30:00+05:30,12.45,12.48,12.42,12.42,243672.0
2026-05-29 09:35:00+05:30,12.42,12.65,12.42,12.63,275480.0
2026-05-29 09:40:00+05:30,12.62,12.76,12.58,12.73,711474.0
2026-05-29 09:45:00+05:30,12.75,12.9,12.7,12.89,972011.0
2026-05-29 09:50:00+05:30,12.89,12.99,12.86,12.9,918704.0
2026-05-29 09:55:00+05:30,12.88,12.93,12.66,12.7,666922.0
2026-05-29 10:00:00+05:30,12.69,12.74,12.5,12.52,677754.0
2026-05-29 10:05:00+05:30,12.54,12.6,12.52,12.53,149193.0
2026-05-29 10:10:00+05:30,12.53,12.55,12.49,12.55,300946.0
2026-05-29 10:15:00+05:30,12.55,12.77,12.52,12.72,724829.0
2026-05-29 10:20:00+05:30,12.73,12.73,12.6,12.64,214067.0
2026-05-29 10:25:00+05:30,12.64,12.66,12.6,12.62,97152.0
2026-05-29 10:30:00+05:30,12.62,12.64,12.54,12.63,236762.0
2026-05-29 10:35:00+05:30,12.63,12.64,12.6,12.62,89283.0
2026-05-29 10:40:00+05:30,12.62,12.64,12.6,12.63,90599.0
2026-05-29 10:45:00+05:30,12.62,12.62,12.49,12.49,258472.0
2026-05-29 10:50:00+05:30,12.49,12.5,12.45,12.5,97404.0
2026-05-29 10:55:00+05:30,12.5,12.55,12.48,12.55,295622.0
2026-05-29 11:00:00+05:30,12.55,12.58,12.51,12.52,108208.0
2026-05-29 11:05:00+05:30,12.52,12.58,12.5,12.55,84246.0
2026-05-29 11:10:00+05:30,12.55,12.62,12.52,12.6,280923.0
2026-05-29 11:15:00+05:30,12.58,12.64,12.58,12.64,261595.0
2026-05-29 11:20:00+05:30,12.64,12.8,12.63,12.75,471553.0
2026-05-29 11:25:00+05:30,12.77,12.78,12.7,12.7,79723.0
2026-05-29 11:30:00+05:30,12.73,12.78,12.7,12.78,115833.0
2026-05-29 11:35:00+05:30,12.77,12.98,12.74,12.98,986988.0
2026-05-29 11:40:00+05:30,12.97,13.11,12.89,13.09,1421503.0
2026-05-29 11:45:00+05:30,13.01,13.08,12.97,13.01,340081.0
2026-05-29 11:50:00+05:30,13.02,13.2,13.0,13.12,528123.0
2026-05-29 11:55:00+05:30,13.15,13.19,13.1,13.15,392151.0
2026-05-29 12:00:00+05:30,13.11,13.16,12.86,12.88,555924.0
2026-05-29 12:05:00+05:30,12.89,13.04,12.86,13.04,292883.0
2026-05-29 12:10:00+05:30,13.03,13.08,12.93,12.95,360098.0
2026-05-29 12:15:00+05:30,12.95,12.95,12.85,12.93,169871.0
2026-05-29 12:20:00+05:30,12.92,12.94,12.88,12.93,99188.0
2026-05-29 12:25:00+05:30,12.95,13.08,12.9,13.08,269156.0
2026-05-29 12:30:00+05:30,13.08,13.09,12.98,12.98,149300.0
2026-05-29 12:35:00+05:30,13.0,13.04,12.99,12.99,93820.0
2026-05-29 12:40:00+05:30,12.99,13.01,12.98,13.01,52514.0
2026-05-29 12:45:00+05:30,13.0,13.07,13.0,13.03,223388.0
2026-05-29 12:50:00+05:30,13.03,13.07,12.97,12.99,293857.0
2026-05-29 12:55:00+05:30,12.99,13.0,12.84,12.93,277491.0
2026-05-29 13:00:00+05:30,12.94,12.98,12.92,12.96,78627.0
2026-05-29 13:05:00+05:30,12.96,12.96,12.77,12.91,290763.0
2026-05-29 13:10:00+05:30,12.91,12.95,12.85,12.9,162647.0
2026-05-29 13:15:00+05:30,12.9,12.91,12.85,12.86,106011.0
2026-05-29 13:20:00+05:30,12.87,12.96,12.86,12.91,79207.0
2026-05-29 13:25:00+05:30,12.94,12.98,12.91,12.98,59328.0
2026-05-29 13:30:00+05:30,12.95,13.02,12.95,12.99,173563.0
2026-05-29 13:35:00+05:30,13.02,13.02,12.9,12.93,85589.0
2026-05-29 13:40:00+05:30,12.93,12.94,12.91,12.91,104212.0
2026-05-29 13:45:00+05:30,12.91,12.93,12.86,12.93,67971.0
2026-05-29 13:50:00+05:30,12.93,12.97,12.9,12.95,108033.0
2026-05-29 13:55:00+05:30,12.92,12.95,12.89,12.93,69872.0
2026-05-29 14:00:00+05:30,12.91,12.95,12.91,12.95,26070.0
2026-05-29 14:05:00+05:30,12.96,12.96,12.92,12.94,34810.0
2026-05-29 14:10:00+05:30,12.92,12.94,12.87,12.89,95120.0
2026-05-29 14:15:00+05:30,12.88,12.9,12.82,12.82,79507.0
2026-05-29 14:20:00+05:30,12.82,12.85,12.76,12.77,197021.0
2026-05-29 14:25:00+05:30,12.78,12.81,12.75,12.81,77930.0
2026-05-29 14:30:00+05:30,12.81,12.9,12.8,12.89,144155.0
2026-05-29 14:35:00+05:30,12.9,12.95,12.89,12.95,89712.0
2026-05-29 14:40:00+05:30,12.95,12.95,12.9,12.91,80425.0
2026-05-29 14:45:00+05:30,12.92,12.95,12.9,12.94,93591.0
2026-05-29 14:50:00+05:30,12.93,12.97,12.93,12.95,195663.0
2026-05-29 14:55:00+05:30,12.93,12.97,12.92,12.97,71710.0
2026-05-29 15:00:00+05:30,12.97,12.97,12.82,12.84,216261.0
2026-05-29 15:05:00+05:30,12.84,12.89,12.71,12.77,252841.0
2026-05-29 15:10:00+05:30,12.75,12.77,12.65,12.65,247200.0
2026-05-29 15:15:00+05:30,12.66,12.87,12.65,12.85,380211.0
2026-05-29 15:20:00+05:30,12.86,12.91,12.86,12.89,458778.0
2026-05-29 15:25:00+05:30,12.9,12.9,12.7,12.71,482210.0
2026-06-01 09:15:00+05:30,13.0,13.3,12.91,12.98,929355.0
2026-06-01 09:20:00+05:30,12.99,13.0,12.93,12.93,277562.0
2026-06-01 09:25:00+05:30,12.94,13.04,12.87,12.97,372870.0
2026-06-01 09:30:00+05:30,12.97,13.19,12.94,13.07,599070.0
2026-06-01 09:35:00+05:30,13.07,13.13,13.02,13.04,216308.0
2026-06-01 09:40:00+05:30,13.04,13.12,13.01,13.06,273923.0
2026-06-01 09:45:00+05:30,13.05,13.1,13.01,13.06,190554.0
2026-06-01 09:50:00+05:30,13.06,13.09,13.01,13.03,114430.0
2026-06-01 09:55:00+05:30,13.01,13.04,13.0,13.0,319442.0
2026-06-01 10:00:00+05:30,13.01,13.01,12.9,12.97,274740.0
2026-06-01 10:05:00+05:30,12.97,13.1,12.96,13.1,245414.0
2026-06-01 10:10:00+05:30,13.08,13.15,13.05,13.12,262743.0
2026-06-01 10:15:00+05:30,13.15,13.19,13.04,13.09,408896.0
2026-06-01 10:20:00+05:30,13.1,13.24,13.09,13.18,529433.0
2026-06-01 10:25:00+05:30,13.18,13.2,13.05,13.05,253512.0
2026-06-01 10:30:00+05:30,13.07,13.09,12.93,12.98,258320.0
2026-06-01 10:35:00+05:30,12.98,13.05,12.95,12.98,98010.0
