dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,2269.2,2269.2,2253.1,2254.0,339.0
2026-05-29 09:20:00+05:30,2247.2,2247.2,2240.1,2244.8,668.0
2026-05-29 09:25:00+05:30,2244.8,2250.5,2242.0,2249.0,453.0
2026-05-29 09:30:00+05:30,2249.1,2250.9,2245.0,2245.0,116.0
2026-05-29 09:35:00+05:30,2245.0,2251.2,2241.5,2250.6,406.0
2026-05-29 09:40:00+05:30,2256.8,2262.3,2256.8,2260.0,82.0
2026-05-29 09:45:00+05:30,2261.0,2261.0,2256.0,2256.0,33.0
2026-05-29 09:50:00+05:30,2256.0,2261.9,2256.0,2261.9,116.0
2026-05-29 09:55:00+05:30,2257.5,2261.0,2255.0,2261.0,168.0
2026-05-29 10:00:00+05:30,2263.9,2263.9,2263.0,2263.0,41.0
2026-05-29 10:05:00+05:30,2263.0,2263.0,2261.3,2262.0,32.0
2026-05-29 10:10:00+05:30,2264.0,2265.0,2264.0,2265.0,91.0
2026-05-29 10:15:00+05:30,2265.0,2265.0,2261.5,2261.5,65.0
2026-05-29 10:20:00+05:30,2261.5,2263.9,2261.3,2263.9,40.0
2026-05-29 10:25:00+05:30,2262.0,2262.0,2258.8,2261.6,191.0
2026-05-29 10:30:00+05:30,2261.6,2266.7,2261.2,2266.7,190.0
2026-05-29 10:35:00+05:30,2266.7,2267.0,2265.1,2267.0,14.0
2026-05-29 10:40:00+05:30,2267.0,2267.0,2265.3,2265.3,4.0
2026-05-29 10:45:00+05:30,2254.0,2258.2,2254.0,2255.0,864.0
2026-05-29 10:50:00+05:30,2256.6,2258.0,2255.0,2255.0,99.0
2026-05-29 10:55:00+05:30,2257.4,2262.4,2257.4,2260.4,100.0
2026-05-29 11:00:00+05:30,2260.4,2260.4,2260.4,2260.4,0.0
2026-05-29 11:05:00+05:30,2260.4,2263.8,2260.4,2263.8,1.0
2026-05-29 11:10:00+05:30,2263.8,2263.8,2258.0,2261.7,211.0
2026-05-29 11:15:00+05:30,2261.7,2261.7,2258.0,2258.0,70.0
2026-05-29 11:20:00+05:30,2258.0,2263.9,2258.0,2263.9,94.0
2026-05-29 11:25:00+05:30,2266.8,2275.4,2262.1,2274.0,553.0
2026-05-29 11:30:00+05:30,2273.5,2276.0,2268.1,2273.8,119.0
2026-05-29 11:35:00+05:30,2273.8,2278.0,2272.8,2278.0,236.0
2026-05-29 11:40:00+05:30,2278.0,2278.3,2272.3,2275.4,258.0
2026-05-29 11:45:00+05:30,2275.4,2275.5,2272.4,2272.4,55.0
2026-05-29 11:50:00+05:30,2272.3,2278.3,2266.2,2276.8,308.0
2026-05-29 11:55:00+05:30,2277.3,2277.9,2270.0,2274.5,124.0
2026-05-29 12:00:00+05:30,2274.9,2275.6,2270.8,2274.8,59.0
2026-05-29 12:05:00+05:30,2274.9,2274.9,2270.4,2273.1,85.0
2026-05-29 12:10:00+05:30,2272.8,2274.5,2270.4,2274.5,44.0
2026-05-29 12:15:00+05:30,2274.6,2275.9,2270.1,2274.1,265.0
2026-05-29 12:20:00+05:30,2273.8,2275.7,2270.0,2274.2,49.0
2026-05-29 12:25:00+05:30,2273.8,2276.0,2270.2,2276.0,172.0
2026-05-29 12:30:00+05:30,2276.0,2277.7,2269.1,2277.7,591.0
2026-05-29 12:35:00+05:30,2277.5,2277.7,2277.0,2277.0,45.0
2026-05-29 12:40:00+05:30,2276.9,2277.5,2274.0,2274.6,105.0
2026-05-29 12:45:00+05:30,2277.7,2277.7,2266.3,2268.0,119.0
2026-05-29 12:50:00+05:30,2268.0,2273.8,2266.0,2273.8,75.0
2026-05-29 12:55:00+05:30,2273.5,2276.7,2265.0,2276.7,247.0
2026-05-29 13:00:00+05:30,2277.9,2277.9,2270.0,2272.6,154.0
2026-05-29 13:05:00+05:30,2272.5,2272.6,2266.3,2270.7,72.0
2026-05-29 13:10:00+05:30,2270.0,2275.0,2265.5,2275.0,388.0
2026-05-29 13:15:00+05:30,2275.0,2275.4,2269.2,2275.0,155.0
2026-05-29 13:20:00+05:30,2275.9,2279.9,2273.4,2273.6,122.0
2026-05-29 13:25:00+05:30,2277.8,2277.9,2270.7,2274.2,83.0
2026-05-29 13:30:00+05:30,2279.2,2279.7,2275.6,2279.5,56.0
2026-05-29 13:35:00+05:30,2279.5,2280.0,2274.3,2275.6,130.0
2026-05-29 13:40:00+05:30,2279.8,2281.0,2277.2,2281.0,45.0
2026-05-29 13:45:00+05:30,2281.0,2284.9,2277.1,2282.7,133.0
2026-05-29 13:50:00+05:30,2283.1,2283.5,2272.0,2272.0,118.0
2026-05-29 13:55:00+05:30,2269.1,2272.8,2267.0,2272.8,184.0
2026-05-29 14:00:00+05:30,2272.8,2272.8,2269.0,2270.3,11.0
2026-05-29 14:05:00+05:30,2267.9,2270.8,2264.5,2270.2,143.0
2026-05-29 14:10:00+05:30,2270.2,2270.2,2263.8,2263.8,88.0
2026-05-29 14:15:00+05:30,2262.7,2278.4,2262.0,2274.8,258.0
2026-05-29 14:20:00+05:30,2276.2,2287.9,2276.2,2286.9,203.0
2026-05-29 14:25:00+05:30,2288.0,2288.0,2285.7,2285.7,104.0
2026-05-29 14:30:00+05:30,2283.7,2291.1,2283.7,2288.4,188.0
2026-05-29 14:35:00+05:30,2288.4,2288.4,2284.7,2285.1,118.0
2026-05-29 14:40:00+05:30,2285.1,2289.0,2285.1,2288.8,57.0
2026-05-29 14:45:00+05:30,2285.5,2289.6,2285.1,2286.4,70.0
2026-05-29 14:50:00+05:30,2290.0,2290.0,2284.0,2285.3,362.0
2026-05-29 14:55:00+05:30,2291.7,2293.2,2290.4,2290.4,456.0
2026-05-29 15:00:00+05:30,2292.2,2292.3,2290.0,2290.0,1515.0
2026-05-29 15:05:00+05:30,2290.0,2291.0,2290.0,2290.0,954.0
