dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,237.4,242.15,235.3,240.05,133231.0
2026-05-29 09:20:00+05:30,240.15,241.6,239.35,239.85,53417.0
2026-05-29 09:25:00+05:30,239.5,239.85,238.75,239.0,52615.0
2026-05-29 09:30:00+05:30,239.15,239.15,236.2,236.4,35746.0
2026-05-29 09:35:00+05:30,236.4,236.9,236.15,236.6,19344.0
2026-05-29 09:40:00+05:30,236.6,236.75,235.1,235.35,24360.0
2026-05-29 09:45:00+05:30,235.35,237.25,234.45,237.25,28213.0
2026-05-29 09:50:00+05:30,237.05,237.5,234.85,235.3,65473.0
2026-05-29 09:55:00+05:30,235.2,235.4,234.3,234.55,8951.0
2026-05-29 10:00:00+05:30,234.55,234.6,233.6,234.6,18589.0
2026-05-29 10:05:00+05:30,234.55,234.7,234.15,234.45,11528.0
2026-05-29 10:10:00+05:30,234.45,234.45,234.05,234.25,4511.0
2026-05-29 10:15:00+05:30,234.4,235.35,234.3,234.35,34459.0
2026-05-29 10:20:00+05:30,234.6,235.75,234.4,235.2,14657.0
2026-05-29 10:25:00+05:30,235.1,235.1,233.65,233.65,20466.0
2026-05-29 10:30:00+05:30,233.6,233.65,232.0,232.4,33056.0
2026-05-29 10:35:00+05:30,232.45,232.9,232.45,232.7,6130.0
2026-05-29 10:40:00+05:30,232.65,232.9,231.7,231.7,39337.0
2026-05-29 10:45:00+05:30,231.8,231.85,229.85,231.45,100606.0
2026-05-29 10:50:00+05:30,231.4,232.35,230.75,232.0,23828.0
2026-05-29 10:55:00+05:30,232.0,232.45,231.85,232.4,9326.0
2026-05-29 11:00:00+05:30,232.55,233.8,232.55,232.85,18958.0
2026-05-29 11:05:00+05:30,232.45,232.8,232.3,232.3,7738.0
2026-05-29 11:10:00+05:30,232.3,232.5,231.6,232.2,14091.0
2026-05-29 11:15:00+05:30,232.3,232.55,231.9,232.15,6831.0
2026-05-29 11:20:00+05:30,232.0,232.0,231.55,231.85,4568.0
2026-05-29 11:25:00+05:30,231.9,232.0,231.7,232.0,4622.0
2026-05-29 11:30:00+05:30,232.0,232.0,231.7,231.95,11173.0
2026-05-29 11:35:00+05:30,231.95,232.15,231.65,231.85,5572.0
2026-05-29 11:40:00+05:30,231.9,232.7,231.65,232.5,7734.0
2026-05-29 11:45:00+05:30,232.65,235.1,232.55,235.1,22847.0
2026-05-29 11:50:00+05:30,235.0,237.0,234.65,236.7,55189.0
2026-05-29 11:55:00+05:30,236.7,236.95,235.5,235.5,22175.0
2026-05-29 12:00:00+05:30,235.55,237.8,235.05,236.9,26749.0
2026-05-29 12:05:00+05:30,236.9,237.4,236.35,236.4,8987.0
2026-05-29 12:10:00+05:30,236.4,236.75,236.05,236.15,9750.0
2026-05-29 12:15:00+05:30,236.15,237.5,235.65,237.5,58819.0
2026-05-29 12:20:00+05:30,237.3,237.9,237.2,237.8,10118.0
2026-05-29 12:25:00+05:30,238.3,239.25,237.75,239.1,23673.0
2026-05-29 12:30:00+05:30,239.1,239.25,238.45,238.45,10868.0
2026-05-29 12:35:00+05:30,238.4,238.75,238.2,238.7,10279.0
2026-05-29 12:40:00+05:30,238.7,238.7,237.2,237.2,23623.0
2026-05-29 12:45:00+05:30,237.1,237.65,236.55,236.55,10353.0
2026-05-29 12:50:00+05:30,236.55,237.05,236.2,236.35,6040.0
2026-05-29 12:55:00+05:30,236.3,236.35,235.65,235.9,18806.0
2026-05-29 13:00:00+05:30,235.95,236.05,235.5,235.5,4316.0
2026-05-29 13:05:00+05:30,235.55,235.65,235.25,235.35,4373.0
2026-05-29 13:10:00+05:30,235.3,236.0,235.1,235.9,20686.0
2026-05-29 13:15:00+05:30,236.05,236.65,235.85,236.35,10985.0
2026-05-29 13:20:00+05:30,236.3,236.65,235.6,235.75,4406.0
2026-05-29 13:25:00+05:30,235.7,236.3,235.55,236.0,8079.0
2026-05-29 13:30:00+05:30,235.95,236.4,235.65,236.2,3614.0
2026-05-29 13:35:00+05:30,236.15,236.2,235.5,235.75,3381.0
2026-05-29 13:40:00+05:30,236.1,236.7,235.7,236.4,5666.0
2026-05-29 13:45:00+05:30,236.4,236.5,236.0,236.0,3462.0
2026-05-29 13:50:00+05:30,236.2,237.15,235.9,236.35,21432.0
2026-05-29 13:55:00+05:30,236.35,236.5,235.95,236.2,4460.0
2026-05-29 14:00:00+05:30,236.0,236.35,235.85,236.25,7810.0
2026-05-29 14:05:00+05:30,236.2,236.75,235.75,236.5,7857.0
2026-05-29 14:10:00+05:30,236.25,236.55,235.85,236.5,6014.0
2026-05-29 14:15:00+05:30,236.5,236.5,236.0,236.05,2913.0
2026-05-29 14:20:00+05:30,236.2,237.15,236.05,236.9,9967.0
2026-05-29 14:25:00+05:30,236.9,237.05,236.5,236.95,5955.0
2026-05-29 14:30:00+05:30,236.95,237.9,236.9,237.4,11163.0
2026-05-29 14:35:00+05:30,237.6,238.3,237.3,238.15,17431.0
2026-05-29 14:40:00+05:30,238.0,239.4,237.95,238.95,41030.0
2026-05-29 14:45:00+05:30,238.9,239.0,238.1,238.4,14169.0
2026-05-29 14:50:00+05:30,238.65,240.0,238.3,240.0,19649.0
2026-05-29 14:55:00+05:30,239.85,240.0,238.9,239.9,66007.0
2026-05-29 15:00:00+05:30,239.9,239.9,235.1,235.45,364117.0
2026-05-29 15:05:00+05:30,235.1,238.2,235.1,237.5,338627.0
2026-05-29 15:10:00+05:30,237.5,237.7,236.0,237.5,284877.0
2026-05-29 15:15:00+05:30,237.5,237.6,232.65,234.35,398995.0
2026-05-29 15:20:00+05:30,234.3,235.9,233.05,234.35,341300.0
2026-05-29 15:25:00+05:30,234.35,237.0,232.7,235.85,297079.0
2026-06-01 09:15:00+05:30,238.0,246.25,238.0,245.01,189017.0
2026-06-01 09:20:00+05:30,245.0,247.75,244.17,245.73,144963.0
2026-06-01 09:25:00+05:30,245.73,246.73,244.87,245.02,76198.0
2026-06-01 09:30:00+05:30,245.03,247.87,244.6,245.59,84195.0
2026-06-01 09:35:00+05:30,245.5,246.9,244.52,246.9,35985.0
2026-06-01 09:40:00+05:30,246.53,248.5,245.81,248.0,119297.0
2026-06-01 09:45:00+05:30,248.0,248.8,247.18,248.46,73895.0
2026-06-01 09:50:00+05:30,248.62,251.0,248.0,250.99,192000.0
2026-06-01 09:55:00+05:30,250.72,256.5,250.34,254.34,399692.0
2026-06-01 10:00:00+05:30,254.13,254.58,252.1,252.5,165031.0
