dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,130.49,131.79,130.35,130.68,11342.0
2026-05-29 09:20:00+05:30,130.47,132.72,130.47,131.48,31923.0
2026-05-29 09:25:00+05:30,131.48,131.48,130.34,130.6,6829.0
2026-05-29 09:30:00+05:30,130.6,131.0,130.6,131.0,1429.0
2026-05-29 09:35:00+05:30,130.65,130.66,130.61,130.62,220.0
2026-05-29 09:40:00+05:30,130.62,131.0,130.6,130.6,5244.0
2026-05-29 09:45:00+05:30,130.86,131.42,130.86,131.03,2801.0
2026-05-29 09:50:00+05:30,131.08,132.0,131.08,131.71,7887.0
2026-05-29 09:55:00+05:30,131.78,132.0,131.78,131.83,2209.0
2026-05-29 10:00:00+05:30,131.87,132.27,131.73,132.27,2969.0
2026-05-29 10:05:00+05:30,132.27,132.48,132.07,132.17,1473.0
2026-05-29 10:10:00+05:30,132.17,132.17,132.07,132.07,1.0
2026-05-29 10:15:00+05:30,132.07,132.07,132.0,132.0,40.0
2026-05-29 10:20:00+05:30,132.0,132.0,131.11,131.99,3136.0
2026-05-29 10:25:00+05:30,131.99,131.99,131.05,131.45,2569.0
2026-05-29 10:30:00+05:30,131.45,131.57,131.45,131.57,161.0
2026-05-29 10:35:00+05:30,131.57,131.57,131.57,131.57,0.0
2026-05-29 10:40:00+05:30,131.57,131.73,131.56,131.73,566.0
2026-05-29 10:45:00+05:30,131.72,132.0,131.55,131.74,3717.0
2026-05-29 10:50:00+05:30,131.67,131.67,131.39,131.39,346.0
2026-05-29 10:55:00+05:30,131.39,131.92,131.39,131.9,1692.0
2026-05-29 11:00:00+05:30,131.9,132.16,131.76,131.92,598.0
2026-05-29 11:05:00+05:30,131.92,133.7,131.92,133.1,15923.0
2026-05-29 11:10:00+05:30,132.45,133.01,132.45,133.0,8112.0
2026-05-29 11:15:00+05:30,132.86,133.13,132.7,132.99,9405.0
2026-05-29 11:20:00+05:30,133.0,133.18,132.61,132.73,928.0
2026-05-29 11:25:00+05:30,132.73,132.73,132.39,132.39,558.0
2026-05-29 11:30:00+05:30,132.23,132.87,132.23,132.87,2315.0
2026-05-29 11:35:00+05:30,132.6,132.87,132.6,132.78,791.0
2026-05-29 11:40:00+05:30,132.63,132.77,132.51,132.51,2048.0
2026-05-29 11:45:00+05:30,132.63,132.63,132.37,132.37,214.0
2026-05-29 11:50:00+05:30,132.37,132.44,132.28,132.28,413.0
2026-05-29 11:55:00+05:30,132.28,132.28,132.28,132.28,0.0
2026-05-29 12:00:00+05:30,132.28,132.46,132.28,132.46,1.0
2026-05-29 12:05:00+05:30,132.42,133.0,132.33,133.0,2277.0
2026-05-29 12:10:00+05:30,133.0,133.0,132.13,132.29,769.0
2026-05-29 12:15:00+05:30,132.29,132.33,132.25,132.25,612.0
2026-05-29 12:20:00+05:30,132.25,132.33,131.0,131.0,17281.0
2026-05-29 12:25:00+05:30,131.0,131.85,131.0,131.62,1020.0
2026-05-29 12:30:00+05:30,131.84,132.63,131.84,132.26,3281.0
2026-05-29 12:35:00+05:30,131.98,131.98,131.68,131.69,116.0
2026-05-29 12:40:00+05:30,131.69,131.69,131.69,131.69,0.0
2026-05-29 12:45:00+05:30,131.69,131.76,131.5,131.76,967.0
2026-05-29 12:50:00+05:30,131.76,131.94,131.73,131.73,652.0
2026-05-29 12:55:00+05:30,131.73,132.12,131.73,132.0,1807.0
2026-05-29 13:00:00+05:30,132.0,132.0,131.85,131.85,77.0
2026-05-29 13:05:00+05:30,131.6,131.92,131.55,131.71,2792.0
2026-05-29 13:10:00+05:30,131.71,131.71,131.48,131.69,170.0
2026-05-29 13:15:00+05:30,131.69,131.99,131.36,131.99,2080.0
2026-05-29 13:20:00+05:30,131.88,131.88,131.71,131.71,156.0
2026-05-29 13:25:00+05:30,131.71,131.71,131.65,131.65,158.0
2026-05-29 13:30:00+05:30,131.85,132.15,131.85,132.15,1884.0
2026-05-29 13:35:00+05:30,132.15,132.17,131.85,132.1,2677.0
2026-05-29 13:40:00+05:30,132.15,132.15,131.73,132.09,1172.0
2026-05-29 13:45:00+05:30,132.05,132.05,131.81,131.81,292.0
2026-05-29 13:50:00+05:30,131.81,131.81,131.5,131.68,3218.0
2026-05-29 13:55:00+05:30,131.68,131.78,131.55,131.66,1062.0
2026-05-29 14:00:00+05:30,131.5,131.5,131.5,131.5,802.0
2026-05-29 14:05:00+05:30,131.5,131.5,131.2,131.36,2209.0
2026-05-29 14:10:00+05:30,131.35,131.65,131.35,131.55,2259.0
2026-05-29 14:15:00+05:30,131.57,132.13,131.57,131.83,8077.0
2026-05-29 14:20:00+05:30,131.83,132.16,131.83,132.16,1855.0
2026-05-29 14:25:00+05:30,132.27,132.27,131.94,131.94,1034.0
2026-05-29 14:30:00+05:30,131.85,132.2,131.65,132.2,2331.0
2026-05-29 14:35:00+05:30,132.48,132.59,131.95,131.95,1087.0
2026-05-29 14:40:00+05:30,131.95,132.19,131.18,132.04,6310.0
2026-05-29 14:45:00+05:30,131.99,131.99,131.05,131.5,5503.0
2026-05-29 14:50:00+05:30,131.49,131.68,131.49,131.67,387.0
2026-05-29 14:55:00+05:30,131.67,131.67,131.52,131.52,128.0
2026-05-29 15:00:00+05:30,131.32,131.32,130.5,130.5,8138.0
2026-05-29 15:05:00+05:30,130.4,130.55,129.22,129.54,8633.0
2026-05-29 15:10:00+05:30,129.24,130.5,129.23,130.5,4745.0
2026-05-29 15:15:00+05:30,130.02,130.34,129.78,130.13,6086.0
2026-05-29 15:20:00+05:30,130.12,130.12,129.6,129.61,11261.0
2026-05-29 15:25:00+05:30,129.61,129.85,128.4,128.4,20929.0
2026-06-01 09:15:00+05:30,133.9,135.71,132.36,134.18,76912.0
2026-06-01 09:20:00+05:30,133.51,135.75,132.37,135.2,60254.0
2026-06-01 09:25:00+05:30,135.4,135.9,134.75,134.75,21888.0
2026-06-01 09:30:00+05:30,134.75,134.75,133.22,133.25,59018.0
2026-06-01 09:35:00+05:30,133.25,134.0,132.8,133.39,34580.0
2026-06-01 09:40:00+05:30,133.78,134.5,133.12,134.19,52309.0
2026-06-01 09:45:00+05:30,134.5,134.99,134.5,134.94,20070.0
2026-06-01 09:50:00+05:30,134.95,134.95,134.0,134.66,18093.0
2026-06-01 09:55:00+05:30,134.7,134.95,134.35,134.5,8447.0
2026-06-01 10:00:00+05:30,134.31,134.36,134.0,134.36,16265.0
2026-06-01 10:05:00+05:30,134.15,134.8,134.0,134.8,12253.0
2026-06-01 10:10:00+05:30,134.52,135.76,134.52,135.02,14800.0
2026-06-01 10:15:00+05:30,135.0,135.08,134.62,134.84,3475.0
2026-06-01 10:20:00+05:30,135.0,135.0,134.56,134.84,3518.0
2026-06-01 10:25:00+05:30,134.84,135.57,134.2,134.52,16005.0
2026-06-01 10:30:00+05:30,134.5,135.0,134.13,134.61,6355.0
2026-06-01 10:35:00+05:30,134.61,134.98,134.55,134.61,3467.0
2026-06-01 10:40:00+05:30,134.61,134.96,134.15,134.96,4611.0
2026-06-01 10:45:00+05:30,135.28,135.36,134.9,134.9,8212.0
2026-06-01 10:50:00+05:30,134.9,135.0,134.5,135.0,6073.0
2026-06-01 10:55:00+05:30,135.0,135.19,134.89,135.19,7015.0
2026-06-01 11:00:00+05:30,135.36,136.88,135.27,136.88,46479.0
2026-06-01 11:05:00+05:30,136.59,137.79,136.0,137.0,58014.0
2026-06-01 11:10:00+05:30,136.84,137.48,136.73,137.11,8952.0
2026-06-01 11:15:00+05:30,137.45,138.0,137.01,137.01,46455.0
2026-06-01 11:20:00+05:30,137.71,138.0,136.63,137.0,13633.0
2026-06-01 11:25:00+05:30,137.0,137.36,136.77,136.82,15530.0
2026-06-01 11:30:00+05:30,136.84,136.99,136.21,136.21,7286.0
2026-06-01 11:35:00+05:30,136.68,136.79,136.04,136.04,6602.0
2026-06-01 11:40:00+05:30,136.3,136.4,136.01,136.01,5263.0
2026-06-01 11:45:00+05:30,136.39,136.39,135.11,135.8,21052.0
2026-06-01 11:50:00+05:30,135.8,136.05,135.8,135.86,3398.0
2026-06-01 11:55:00+05:30,135.89,135.9,135.11,135.21,17617.0
2026-06-01 12:00:00+05:30,135.06,135.22,134.51,134.93,9763.0
2026-06-01 12:05:00+05:30,134.73,134.85,134.57,134.57,2617.0
2026-06-01 12:10:00+05:30,134.57,134.99,134.57,134.97,1456.0
2026-06-01 12:15:00+05:30,135.0,135.09,135.0,135.09,5288.0
2026-06-01 12:20:00+05:30,135.27,135.48,135.0,135.26,3265.0
2026-06-01 12:25:00+05:30,135.22,135.22,135.02,135.02,744.0
2026-06-01 12:30:00+05:30,135.02,135.26,134.93,135.26,1386.0
2026-06-01 12:35:00+05:30,135.15,135.43,134.41,134.7,11743.0
2026-06-01 12:40:00+05:30,134.91,135.18,134.7,135.18,2443.0
2026-06-01 12:45:00+05:30,135.15,135.39,134.91,135.02,2527.0
2026-06-01 12:50:00+05:30,135.01,135.01,134.56,134.75,4637.0
2026-06-01 12:55:00+05:30,134.75,135.0,134.75,135.0,1150.0
2026-06-01 13:00:00+05:30,135.0,135.0,134.52,134.52,2986.0
2026-06-01 13:05:00+05:30,134.77,134.8,134.2,134.2,3993.0
2026-06-01 13:10:00+05:30,134.33,134.33,133.0,133.48,16832.0
2026-06-01 13:15:00+05:30,133.51,133.69,133.24,133.68,2280.0
2026-06-01 13:20:00+05:30,133.5,133.69,133.3,133.3,1518.0
2026-06-01 13:25:00+05:30,133.3,133.74,133.25,133.56,2202.0
2026-06-01 13:30:00+05:30,133.56,133.56,132.8,133.31,11734.0
2026-06-01 13:35:00+05:30,133.27,133.45,133.13,133.27,1315.0
2026-06-01 13:40:00+05:30,133.05,133.47,132.9,133.47,3063.0
2026-06-01 13:45:00+05:30,133.29,133.39,133.11,133.11,2390.0
2026-06-01 13:50:00+05:30,133.35,133.39,133.3,133.39,810.0
2026-06-01 13:55:00+05:30,133.38,133.38,133.37,133.37,950.0
2026-06-01 14:00:00+05:30,133.37,133.37,133.0,133.26,9680.0
2026-06-01 14:05:00+05:30,133.38,133.38,133.0,133.0,1543.0
2026-06-01 14:10:00+05:30,133.33,133.33,132.11,132.12,12651.0
2026-06-01 14:15:00+05:30,132.39,132.39,131.49,131.97,21283.0
2026-06-01 14:20:00+05:30,131.97,132.3,131.97,132.04,1950.0
2026-06-01 14:25:00+05:30,132.0,132.42,131.67,131.67,3981.0
2026-06-01 14:30:00+05:30,131.61,132.35,131.61,132.35,2059.0
2026-06-01 14:35:00+05:30,131.93,132.4,131.93,132.4,1542.0
2026-06-01 14:40:00+05:30,132.4,132.4,132.13,132.13,175.0
2026-06-01 14:45:00+05:30,132.13,132.4,132.13,132.25,1483.0
2026-06-01 14:50:00+05:30,132.25,132.48,132.1,132.19,3921.0
2026-06-01 14:55:00+05:30,132.19,132.19,131.93,132.12,3942.0
2026-06-01 15:00:00+05:30,131.93,131.99,131.75,131.89,3352.0
2026-06-01 15:05:00+05:30,131.82,132.0,131.5,131.93,6583.0
2026-06-01 15:10:00+05:30,131.92,131.92,131.56,131.66,2794.0
2026-06-01 15:15:00+05:30,131.88,131.99,131.5,131.52,12741.0
2026-06-01 15:20:00+05:30,131.71,132.24,131.1,132.12,19770.0
2026-06-01 15:25:00+05:30,131.51,131.84,131.1,131.16,14618.0
2026-06-02 09:15:00+05:30,131.36,132.49,130.63,132.49,11702.0
2026-06-02 09:20:00+05:30,132.67,135.09,132.32,134.75,34716.0
2026-06-02 09:25:00+05:30,134.66,135.5,133.61,134.0,11417.0
2026-06-02 09:30:00+05:30,133.31,133.5,132.87,132.87,2768.0
2026-06-02 09:35:00+05:30,132.87,134.02,132.87,133.71,13426.0
2026-06-02 09:40:00+05:30,133.89,133.89,132.74,132.74,2343.0
2026-06-02 09:45:00+05:30,132.89,132.89,132.01,132.34,5179.0
2026-06-02 09:50:00+05:30,132.34,132.65,132.06,132.26,4031.0
2026-06-02 09:55:00+05:30,131.99,132.44,131.79,132.44,2135.0
2026-06-02 10:00:00+05:30,132.27,132.96,132.27,132.32,2129.0
2026-06-02 10:05:00+05:30,132.48,132.48,132.1,132.1,483.0
2026-06-02 10:10:00+05:30,132.1,132.23,131.84,131.84,530.0
2026-06-02 10:15:00+05:30,131.84,132.26,131.75,131.99,1434.0
2026-06-02 10:20:00+05:30,132.3,132.3,131.96,132.0,9961.0
2026-06-02 10:25:00+05:30,131.91,132.0,131.76,131.84,5934.0
2026-06-02 10:30:00+05:30,131.86,132.0,131.62,131.96,1366.0
2026-06-02 10:35:00+05:30,131.96,132.13,131.96,132.13,141.0
2026-06-02 10:40:00+05:30,132.28,132.28,131.0,131.42,22440.0
2026-06-02 10:45:00+05:30,131.44,131.44,131.44,131.44,850.0
2026-06-02 10:50:00+05:30,131.44,131.71,131.0,131.0,2221.0
2026-06-02 10:55:00+05:30,131.0,131.27,130.97,131.1,1621.0
2026-06-02 11:00:00+05:30,131.31,132.79,131.31,132.79,18109.0
2026-06-02 11:05:00+05:30,132.79,132.79,132.5,132.63,8644.0
2026-06-02 11:10:00+05:30,132.21,132.21,132.19,132.19,1167.0
2026-06-02 11:15:00+05:30,132.19,132.19,132.09,132.18,108.0
2026-06-02 11:20:00+05:30,131.91,132.15,131.5,131.97,6602.0
2026-06-02 11:25:00+05:30,131.97,131.98,131.97,131.98,35.0
2026-06-02 11:30:00+05:30,131.98,131.98,131.9,131.9,153.0
2026-06-02 11:35:00+05:30,131.9,132.06,131.68,131.68,56.0
2026-06-02 11:40:00+05:30,131.6,131.6,131.43,131.47,150.0
2026-06-02 11:45:00+05:30,131.47,131.47,131.46,131.47,34.0
2026-06-02 11:50:00+05:30,131.47,131.59,131.47,131.48,272.0
2026-06-02 11:55:00+05:30,131.48,131.58,131.31,131.5,110.0
2026-06-02 12:00:00+05:30,131.5,131.5,131.35,131.35,53.0
2026-06-02 12:05:00+05:30,131.3,131.31,131.3,131.3,253.0
2026-06-02 12:10:00+05:30,131.3,131.3,131.2,131.2,5.0
2026-06-02 12:15:00+05:30,131.2,131.3,131.2,131.3,7.0
2026-06-02 12:20:00+05:30,131.15,131.3,131.15,131.15,924.0
2026-06-02 12:25:00+05:30,131.12,131.15,131.01,131.1,214.0
2026-06-02 12:30:00+05:30,131.1,131.19,131.1,131.1,219.0
2026-06-02 12:35:00+05:30,131.1,131.2,131.1,131.2,8.0
2026-06-02 12:40:00+05:30,131.2,131.31,131.01,131.25,613.0
2026-06-02 12:45:00+05:30,131.5,132.0,131.5,131.74,4247.0
2026-06-02 12:50:00+05:30,131.89,131.89,131.7,131.7,506.0
2026-06-02 12:55:00+05:30,131.71,131.92,131.71,131.82,1033.0
2026-06-02 13:00:00+05:30,131.82,131.98,131.82,131.96,97.0
2026-06-02 13:05:00+05:30,131.96,131.98,131.02,131.02,2020.0
2026-06-02 13:10:00+05:30,131.0,131.42,131.0,131.42,3565.0
2026-06-02 13:15:00+05:30,131.2,131.2,131.13,131.13,595.0
2026-06-02 13:20:00+05:30,131.13,131.42,131.13,131.42,271.0
2026-06-02 13:25:00+05:30,131.14,131.29,131.1,131.26,6103.0
2026-06-02 13:30:00+05:30,131.26,131.47,131.26,131.47,552.0
2026-06-02 13:35:00+05:30,131.47,131.47,131.35,131.35,500.0
2026-06-02 13:40:00+05:30,131.25,131.25,131.25,131.25,1322.0
2026-06-02 13:45:00+05:30,131.25,131.48,131.25,131.48,567.0
2026-06-02 13:50:00+05:30,131.48,131.48,131.13,131.3,1033.0
2026-06-02 13:55:00+05:30,131.3,131.3,131.3,131.3,47.0
2026-06-02 14:00:00+05:30,131.14,131.14,130.25,130.75,12862.0
2026-06-02 14:05:00+05:30,131.29,131.47,131.0,131.0,5058.0
2026-06-02 14:10:00+05:30,131.02,131.02,131.0,131.0,1529.0
2026-06-02 14:15:00+05:30,131.0,131.0,130.85,130.85,145.0
2026-06-02 14:20:00+05:30,130.85,130.85,130.75,130.76,953.0
