dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,510.0,510.0,495.0,508.9,1063.0
2026-05-29 09:20:00+05:30,506.7,508.2,504.1,505.2,605.0
2026-05-29 09:25:00+05:30,505.2,505.2,503.3,503.7,54.0
2026-05-29 09:30:00+05:30,503.7,504.5,502.8,502.8,88.0
2026-05-29 09:35:00+05:30,502.5,504.25,502.5,503.5,44.0
2026-05-29 09:40:00+05:30,503.5,503.5,501.9,502.0,773.0
2026-05-29 09:45:00+05:30,502.0,502.35,500.15,500.25,490.0
2026-05-29 09:50:00+05:30,501.8,503.7,501.8,503.65,19.0
2026-05-29 09:55:00+05:30,502.0,503.65,500.1,502.45,327.0
2026-05-29 10:00:00+05:30,503.2,503.2,500.25,502.2,84.0
2026-05-29 10:05:00+05:30,502.2,503.65,502.2,502.25,16.0
2026-05-29 10:10:00+05:30,502.25,502.75,500.8,502.75,155.0
2026-05-29 10:15:00+05:30,502.75,502.75,498.1,500.85,180.0
2026-05-29 10:20:00+05:30,501.4,502.45,501.4,502.45,42.0
2026-05-29 10:25:00+05:30,502.45,502.45,502.45,502.45,0.0
2026-05-29 10:30:00+05:30,502.35,502.35,500.6,501.8,69.0
2026-05-29 10:35:00+05:30,502.1,502.1,502.1,502.1,15.0
2026-05-29 10:40:00+05:30,502.1,502.1,498.0,499.8,233.0
2026-05-29 10:45:00+05:30,500.7,500.7,498.2,499.9,200.0
2026-05-29 10:50:00+05:30,499.9,499.9,499.6,499.6,67.0
2026-05-29 10:55:00+05:30,499.6,500.95,499.6,499.6,31.0
2026-05-29 11:00:00+05:30,501.1,501.1,499.55,499.55,111.0
2026-05-29 11:05:00+05:30,501.5,501.5,500.95,501.15,26.0
2026-05-29 11:10:00+05:30,501.15,501.4,501.05,501.4,35.0
2026-05-29 11:15:00+05:30,501.4,501.7,500.5,500.5,22.0
2026-05-29 11:20:00+05:30,500.5,501.7,500.5,501.35,19.0
2026-05-29 11:25:00+05:30,500.65,501.65,500.65,501.65,53.0
2026-05-29 11:30:00+05:30,501.65,501.95,500.5,500.6,70.0
2026-05-29 11:35:00+05:30,500.6,500.6,500.6,500.6,48.0
2026-05-29 11:40:00+05:30,500.6,501.85,500.6,501.55,34.0
2026-05-29 11:45:00+05:30,501.55,501.85,500.0,501.05,219.0
2026-05-29 11:50:00+05:30,501.05,501.05,501.05,501.05,1.0
2026-05-29 11:55:00+05:30,501.3,501.3,501.3,501.3,15.0
2026-05-29 12:00:00+05:30,501.3,501.3,499.1,500.0,693.0
2026-05-29 12:05:00+05:30,500.0,500.95,500.0,500.0,105.0
2026-05-29 12:10:00+05:30,499.25,499.25,499.1,499.1,235.0
2026-05-29 12:15:00+05:30,499.1,500.4,499.0,499.0,101.0
2026-05-29 12:20:00+05:30,499.0,500.45,499.0,500.45,10.0
2026-05-29 12:25:00+05:30,498.0,500.6,498.0,499.85,320.0
2026-05-29 12:30:00+05:30,499.85,500.6,499.1,500.5,31.0
2026-05-29 12:35:00+05:30,500.5,500.5,499.0,499.0,164.0
2026-05-29 12:40:00+05:30,499.0,500.4,499.0,500.1,14.0
2026-05-29 12:45:00+05:30,500.1,500.1,500.1,500.1,1.0
2026-05-29 12:50:00+05:30,499.7,499.8,499.2,499.2,537.0
2026-05-29 12:55:00+05:30,498.95,499.0,498.65,499.0,152.0
2026-05-29 13:00:00+05:30,499.0,499.0,498.0,498.85,36.0
2026-05-29 13:05:00+05:30,498.85,498.85,497.1,497.1,17.0
2026-05-29 13:10:00+05:30,495.1,497.55,495.1,495.2,1434.0
2026-05-29 13:15:00+05:30,495.2,497.4,495.2,497.4,20.0
2026-05-29 13:20:00+05:30,497.4,498.15,497.4,497.95,12.0
2026-05-29 13:25:00+05:30,497.95,497.95,496.9,496.9,101.0
2026-05-29 13:30:00+05:30,496.9,498.35,496.9,497.05,54.0
2026-05-29 13:35:00+05:30,498.2,498.3,497.1,498.25,72.0
2026-05-29 13:40:00+05:30,498.25,498.25,497.95,498.0,15.0
2026-05-29 13:45:00+05:30,498.0,498.0,497.15,497.15,10.0
2026-05-29 13:50:00+05:30,497.95,497.95,497.0,497.05,83.0
2026-05-29 13:55:00+05:30,497.05,498.7,497.05,498.7,131.0
2026-05-29 14:00:00+05:30,498.7,498.7,498.7,498.7,1.0
2026-05-29 14:05:00+05:30,498.7,498.7,497.0,498.0,205.0
2026-05-29 14:10:00+05:30,498.1,498.1,498.0,498.0,52.0
2026-05-29 14:15:00+05:30,498.0,498.0,494.3,495.4,2722.0
2026-05-29 14:20:00+05:30,495.7,496.1,495.0,495.8,167.0
2026-05-29 14:25:00+05:30,495.8,495.85,494.75,495.75,23.0
2026-05-29 14:30:00+05:30,494.85,495.75,494.0,495.0,458.0
2026-05-29 14:35:00+05:30,495.0,495.8,494.45,494.45,240.0
2026-05-29 14:40:00+05:30,494.15,495.0,493.65,493.9,522.0
2026-05-29 14:45:00+05:30,493.9,494.85,493.15,493.15,122.0
2026-05-29 14:50:00+05:30,494.9,494.9,492.0,492.05,393.0
2026-05-29 14:55:00+05:30,492.45,492.45,491.05,491.05,430.0
2026-05-29 15:00:00+05:30,491.3,496.45,488.0,489.1,2934.0
2026-05-29 15:05:00+05:30,489.3,492.65,487.6,487.6,419.0
2026-05-29 15:10:00+05:30,487.6,495.0,487.0,487.1,999.0
2026-05-29 15:15:00+05:30,487.1,497.8,487.1,492.45,394.0
2026-05-29 15:20:00+05:30,492.45,497.75,492.45,492.45,160.0
2026-05-29 15:25:00+05:30,492.4,497.45,492.4,492.45,139.0
2026-06-01 09:15:00+05:30,499.7,500.95,491.05,500.55,299.0
2026-06-01 09:20:00+05:30,497.6,499.75,497.15,497.15,109.0
2026-06-01 09:25:00+05:30,498.45,498.95,497.0,498.65,214.0
2026-06-01 09:30:00+05:30,497.2,499.8,497.2,498.65,96.0
2026-06-01 09:35:00+05:30,496.1,498.4,496.1,498.3,536.0
2026-06-01 09:40:00+05:30,498.3,498.95,496.55,498.25,199.0
2026-06-01 09:45:00+05:30,497.0,498.9,497.0,498.4,175.0
2026-06-01 09:50:00+05:30,498.4,498.4,497.0,497.1,140.0
2026-06-01 09:55:00+05:30,497.8,499.0,497.8,499.0,86.0
2026-06-01 10:00:00+05:30,499.0,499.0,499.0,499.0,0.0
2026-06-01 10:05:00+05:30,499.0,499.95,499.0,499.95,43.0
2026-06-01 10:10:00+05:30,499.95,499.95,498.1,498.1,55.0
2026-06-01 10:15:00+05:30,497.25,497.25,497.25,497.25,60.0
2026-06-01 10:20:00+05:30,497.25,497.25,497.25,497.25,0.0
2026-06-01 10:25:00+05:30,497.25,498.5,497.25,498.5,10.0
2026-06-01 10:30:00+05:30,497.3,498.95,497.3,497.35,15.0
2026-06-01 10:35:00+05:30,497.35,497.35,497.35,497.35,0.0
2026-06-01 10:40:00+05:30,497.35,498.0,496.75,496.75,101.0
2026-06-01 10:45:00+05:30,498.95,498.95,496.75,496.75,79.0
2026-06-01 10:50:00+05:30,496.55,508.0,496.55,508.0,1432.0
