dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,180.71,181.0,177.87,179.37,202527.0
2026-05-29 09:20:00+05:30,179.36,180.0,179.2,180.0,209871.0
2026-05-29 09:25:00+05:30,179.85,180.0,178.61,178.66,94883.0
2026-05-29 09:30:00+05:30,178.76,179.68,178.66,179.45,102219.0
2026-05-29 09:35:00+05:30,179.32,180.29,179.28,179.91,227638.0
2026-05-29 09:40:00+05:30,179.9,180.19,179.7,179.93,269034.0
2026-05-29 09:45:00+05:30,179.86,180.13,179.5,179.99,164640.0
2026-05-29 09:50:00+05:30,179.8,180.24,179.69,180.0,27361.0
2026-05-29 09:55:00+05:30,180.32,185.44,180.32,185.01,430211.0
2026-05-29 10:00:00+05:30,185.01,187.7,185.01,185.31,409129.0
2026-05-29 10:05:00+05:30,185.26,185.58,183.66,183.8,129841.0
2026-05-29 10:10:00+05:30,183.65,184.23,183.04,183.05,93922.0
2026-05-29 10:15:00+05:30,183.05,183.3,182.55,183.0,55009.0
2026-05-29 10:20:00+05:30,182.91,184.22,182.55,183.62,123186.0
2026-05-29 10:25:00+05:30,183.55,183.6,182.92,183.48,106838.0
2026-05-29 10:30:00+05:30,183.46,183.48,182.71,182.99,74587.0
2026-05-29 10:35:00+05:30,182.99,182.99,182.77,182.87,50406.0
2026-05-29 10:40:00+05:30,182.83,183.38,182.62,182.75,73058.0
2026-05-29 10:45:00+05:30,182.74,183.0,182.65,182.65,10650.0
2026-05-29 10:50:00+05:30,182.79,182.8,182.08,182.22,13311.0
2026-05-29 10:55:00+05:30,182.23,182.5,182.01,182.15,19468.0
2026-05-29 11:00:00+05:30,182.15,182.29,181.68,181.84,34812.0
2026-05-29 11:05:00+05:30,181.77,182.37,181.71,182.17,13401.0
2026-05-29 11:10:00+05:30,182.17,182.17,181.6,181.92,15756.0
2026-05-29 11:15:00+05:30,181.97,182.0,181.9,181.97,8789.0
2026-05-29 11:20:00+05:30,181.96,182.06,181.54,181.55,12779.0
2026-05-29 11:25:00+05:30,181.69,182.26,181.53,181.9,42883.0
2026-05-29 11:30:00+05:30,181.9,182.07,181.69,181.96,33622.0
2026-05-29 11:35:00+05:30,181.9,181.96,181.31,181.51,23186.0
2026-05-29 11:40:00+05:30,181.68,181.78,181.23,181.32,16603.0
2026-05-29 11:45:00+05:30,181.42,181.69,181.29,181.69,5616.0
2026-05-29 11:50:00+05:30,181.64,181.77,181.5,181.75,5821.0
2026-05-29 11:55:00+05:30,181.71,181.77,181.27,181.4,8383.0
2026-05-29 12:00:00+05:30,181.39,181.57,181.0,181.34,26942.0
2026-05-29 12:05:00+05:30,181.3,181.51,181.03,181.15,6645.0
2026-05-29 12:10:00+05:30,181.14,181.3,180.86,181.21,13112.0
2026-05-29 12:15:00+05:30,181.21,181.81,181.21,181.4,37010.0
2026-05-29 12:20:00+05:30,181.41,181.67,181.24,181.66,8384.0
2026-05-29 12:25:00+05:30,181.53,181.73,181.07,181.21,8419.0
2026-05-29 12:30:00+05:30,181.21,181.29,180.73,181.29,49432.0
2026-05-29 12:35:00+05:30,181.21,181.3,180.93,180.99,14888.0
2026-05-29 12:40:00+05:30,180.99,181.08,180.85,181.0,11752.0
2026-05-29 12:45:00+05:30,181.0,181.04,180.55,180.55,31218.0
2026-05-29 12:50:00+05:30,180.71,180.71,180.35,180.35,15624.0
2026-05-29 12:55:00+05:30,180.35,180.35,179.8,180.32,20768.0
2026-05-29 13:00:00+05:30,180.27,180.27,178.98,179.0,95612.0
2026-05-29 13:05:00+05:30,178.99,179.03,178.1,178.42,120597.0
2026-05-29 13:10:00+05:30,178.41,178.57,178.22,178.3,38526.0
2026-05-29 13:15:00+05:30,178.4,178.42,178.05,178.2,14542.0
2026-05-29 13:20:00+05:30,178.3,178.78,178.3,178.64,26401.0
2026-05-29 13:25:00+05:30,178.7,178.92,178.52,178.8,12284.0
2026-05-29 13:30:00+05:30,178.75,179.18,178.75,178.9,19662.0
2026-05-29 13:35:00+05:30,178.9,178.99,178.59,178.7,19271.0
2026-05-29 13:40:00+05:30,178.7,178.87,178.0,178.39,42343.0
2026-05-29 13:45:00+05:30,178.35,178.5,178.1,178.29,17774.0
2026-05-29 13:50:00+05:30,178.27,178.4,178.0,178.2,30452.0
2026-05-29 13:55:00+05:30,178.2,178.34,178.02,178.1,19716.0
2026-05-29 14:00:00+05:30,178.2,178.24,178.05,178.11,7700.0
2026-05-29 14:05:00+05:30,178.05,178.11,177.91,177.91,14996.0
2026-05-29 14:10:00+05:30,177.9,178.0,177.55,177.98,10131.0
2026-05-29 14:15:00+05:30,177.98,178.09,177.67,177.9,10684.0
2026-05-29 14:20:00+05:30,177.9,178.25,177.88,178.15,12656.0
2026-05-29 14:25:00+05:30,178.2,178.47,178.11,178.47,8965.0
2026-05-29 14:30:00+05:30,178.5,178.67,178.5,178.64,15133.0
2026-05-29 14:35:00+05:30,178.63,178.64,178.22,178.27,12164.0
2026-05-29 14:40:00+05:30,178.28,179.0,178.28,179.0,13518.0
2026-05-29 14:45:00+05:30,178.95,179.4,178.92,178.99,21612.0
2026-05-29 14:50:00+05:30,178.98,179.04,178.7,178.89,26992.0
2026-05-29 14:55:00+05:30,178.78,178.78,178.1,178.25,25284.0
2026-05-29 15:00:00+05:30,178.4,178.4,175.62,175.79,225160.0
2026-05-29 15:05:00+05:30,175.78,175.78,174.5,174.71,184424.0
2026-05-29 15:10:00+05:30,174.73,175.28,174.6,174.7,151897.0
2026-05-29 15:15:00+05:30,174.65,174.7,173.55,173.78,141226.0
2026-05-29 15:20:00+05:30,173.78,173.92,173.2,173.49,127798.0
2026-05-29 15:25:00+05:30,173.43,173.83,173.0,173.4,200589.0
2026-06-01 09:15:00+05:30,174.75,176.09,174.31,174.93,77521.0
2026-06-01 09:20:00+05:30,174.84,175.29,174.31,174.91,132370.0
2026-06-01 09:25:00+05:30,174.9,174.91,174.0,174.22,72686.0
2026-06-01 09:30:00+05:30,174.25,174.68,173.6,174.49,156181.0
2026-06-01 09:35:00+05:30,174.36,174.36,173.4,174.1,107583.0
2026-06-01 09:40:00+05:30,174.22,174.38,173.1,173.29,77612.0
2026-06-01 09:45:00+05:30,173.29,173.52,172.7,172.99,91480.0
2026-06-01 09:50:00+05:30,172.99,173.64,172.99,173.23,155810.0
2026-06-01 09:55:00+05:30,173.39,173.54,172.78,173.07,75124.0
2026-06-01 10:00:00+05:30,173.07,173.17,172.6,172.68,18390.0
2026-06-01 10:05:00+05:30,172.54,173.42,172.54,173.26,17103.0
2026-06-01 10:10:00+05:30,173.26,173.39,173.0,173.0,5902.0
2026-06-01 10:15:00+05:30,172.97,173.28,172.8,172.99,12284.0
2026-06-01 10:20:00+05:30,172.99,173.63,172.96,173.55,21083.0
2026-06-01 10:25:00+05:30,173.63,173.88,173.16,173.43,68696.0
2026-06-01 10:30:00+05:30,173.43,173.57,173.22,173.48,5918.0
2026-06-01 10:35:00+05:30,173.48,173.89,173.22,173.74,21761.0
2026-06-01 10:40:00+05:30,173.74,174.24,173.74,174.19,106442.0
2026-06-01 10:45:00+05:30,174.15,174.5,174.15,174.44,55367.0
2026-06-01 10:50:00+05:30,174.41,174.9,174.41,174.75,85550.0
2026-06-01 10:55:00+05:30,174.75,174.79,174.54,174.65,5326.0
