dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,98.4,98.4,97.31,97.95,6454.0
2026-05-29 09:20:00+05:30,97.87,98.14,97.87,98.09,1926.0
2026-05-29 09:25:00+05:30,98.12,98.37,97.62,97.62,1386.0
2026-05-29 09:30:00+05:30,97.6,97.85,97.12,97.12,4132.0
2026-05-29 09:35:00+05:30,97.12,98.0,97.12,97.71,4252.0
2026-05-29 09:40:00+05:30,97.7,97.79,97.5,97.79,1726.0
2026-05-29 09:45:00+05:30,97.51,97.51,97.29,97.29,1070.0
2026-05-29 09:50:00+05:30,97.35,97.65,97.35,97.4,703.0
2026-05-29 09:55:00+05:30,97.45,97.59,97.22,97.22,1823.0
2026-05-29 10:00:00+05:30,97.38,97.38,97.01,97.03,4309.0
2026-05-29 10:05:00+05:30,97.39,97.66,97.39,97.65,2100.0
2026-05-29 10:10:00+05:30,97.75,97.79,97.75,97.76,966.0
2026-05-29 10:15:00+05:30,97.79,98.0,97.79,98.0,1118.0
2026-05-29 10:20:00+05:30,98.0,98.0,97.81,97.93,260.0
2026-05-29 10:25:00+05:30,97.89,97.89,97.7,97.7,1082.0
2026-05-29 10:30:00+05:30,97.7,97.86,97.68,97.86,85.0
2026-05-29 10:35:00+05:30,97.86,97.86,97.51,97.51,2013.0
2026-05-29 10:40:00+05:30,97.6,97.77,97.6,97.74,503.0
2026-05-29 10:45:00+05:30,97.73,97.99,97.73,97.83,3398.0
2026-05-29 10:50:00+05:30,97.66,97.8,97.6,97.76,658.0
2026-05-29 10:55:00+05:30,97.61,97.8,97.58,97.68,1064.0
2026-05-29 11:00:00+05:30,97.73,97.73,97.55,97.73,276.0
2026-05-29 11:05:00+05:30,97.73,97.73,97.73,97.73,151.0
2026-05-29 11:10:00+05:30,97.73,97.73,97.6,97.6,120.0
2026-05-29 11:15:00+05:30,97.6,97.82,97.56,97.82,1671.0
2026-05-29 11:20:00+05:30,97.82,97.82,97.61,97.61,430.0
2026-05-29 11:25:00+05:30,97.78,97.78,97.58,97.58,1136.0
2026-05-29 11:30:00+05:30,97.7,97.71,97.34,97.34,1550.0
2026-05-29 11:35:00+05:30,97.34,97.83,97.34,97.83,1057.0
2026-05-29 11:40:00+05:30,97.79,97.79,97.6,97.71,511.0
2026-05-29 11:45:00+05:30,97.71,97.71,97.55,97.55,5.0
2026-05-29 11:50:00+05:30,97.55,97.75,97.55,97.75,551.0
2026-05-29 11:55:00+05:30,97.75,97.75,97.7,97.7,65.0
2026-05-29 12:00:00+05:30,97.7,97.7,97.62,97.62,25.0
2026-05-29 12:05:00+05:30,97.6,97.7,97.5,97.6,1940.0
2026-05-29 12:10:00+05:30,97.6,97.6,97.21,97.21,1824.0
2026-05-29 12:15:00+05:30,97.21,97.42,97.21,97.23,8.0
2026-05-29 12:20:00+05:30,97.46,98.3,97.3,98.3,8687.0
2026-05-29 12:25:00+05:30,97.97,98.29,97.97,98.08,62.0
2026-05-29 12:30:00+05:30,98.33,98.33,98.11,98.11,227.0
2026-05-29 12:35:00+05:30,98.02,98.02,98.01,98.01,471.0
2026-05-29 12:40:00+05:30,98.01,98.01,97.8,97.8,400.0
2026-05-29 12:45:00+05:30,97.53,97.84,97.53,97.83,2501.0
2026-05-29 12:50:00+05:30,97.63,97.75,97.44,97.44,943.0
2026-05-29 12:55:00+05:30,97.44,97.44,97.31,97.44,531.0
2026-05-29 13:00:00+05:30,97.42,97.43,97.42,97.43,28.0
2026-05-29 13:05:00+05:30,97.47,97.5,97.4,97.5,261.0
2026-05-29 13:10:00+05:30,97.46,97.46,97.3,97.3,261.0
2026-05-29 13:15:00+05:30,97.2,97.3,97.15,97.3,3618.0
2026-05-29 13:20:00+05:30,97.28,97.3,97.25,97.26,1072.0
2026-05-29 13:25:00+05:30,97.26,97.39,97.26,97.39,89.0
2026-05-29 13:30:00+05:30,97.39,97.39,97.39,97.39,0.0
2026-05-29 13:35:00+05:30,97.39,97.39,97.02,97.02,8728.0
2026-05-29 13:40:00+05:30,97.0,97.48,96.92,97.15,13551.0
2026-05-29 13:45:00+05:30,97.15,97.18,97.11,97.18,114.0
2026-05-29 13:50:00+05:30,97.18,97.18,96.84,96.84,599.0
2026-05-29 13:55:00+05:30,96.84,97.06,96.84,97.0,399.0
2026-05-29 14:00:00+05:30,97.0,97.0,97.0,97.0,480.0
2026-05-29 14:05:00+05:30,97.0,97.22,96.87,97.22,5638.0
2026-05-29 14:10:00+05:30,97.22,97.78,97.22,97.78,1001.0
2026-05-29 14:15:00+05:30,97.78,97.79,97.54,97.54,369.0
2026-05-29 14:20:00+05:30,97.54,97.65,97.54,97.65,100.0
2026-05-29 14:25:00+05:30,97.65,97.65,97.65,97.65,549.0
2026-05-29 14:30:00+05:30,97.56,97.7,97.55,97.7,266.0
2026-05-29 14:35:00+05:30,97.65,97.75,97.63,97.64,249.0
2026-05-29 14:40:00+05:30,97.75,97.8,97.75,97.8,295.0
2026-05-29 14:45:00+05:30,97.8,97.84,97.7,97.84,115.0
2026-05-29 14:50:00+05:30,97.84,97.84,97.67,97.67,44.0
2026-05-29 14:55:00+05:30,97.67,97.67,97.6,97.6,840.0
2026-05-29 15:00:00+05:30,97.5,97.8,97.45,97.79,10374.0
2026-05-29 15:05:00+05:30,97.84,97.97,97.45,97.97,10491.0
2026-05-29 15:10:00+05:30,97.97,97.97,97.54,97.7,1334.0
2026-05-29 15:15:00+05:30,97.82,98.25,97.62,98.25,4063.0
2026-05-29 15:20:00+05:30,97.64,98.0,97.51,97.51,2214.0
2026-05-29 15:25:00+05:30,97.8,97.8,97.45,97.45,3805.0
2026-06-01 09:15:00+05:30,98.0,98.0,97.0,97.7,6422.0
2026-06-01 09:20:00+05:30,97.9,97.9,97.3,97.31,5652.0
2026-06-01 09:25:00+05:30,97.25,97.62,97.13,97.16,4216.0
2026-06-01 09:30:00+05:30,97.25,97.35,97.11,97.35,1043.0
2026-06-01 09:35:00+05:30,97.5,97.5,97.1,97.3,2535.0
2026-06-01 09:40:00+05:30,97.48,97.48,96.91,96.91,1714.0
2026-06-01 09:45:00+05:30,96.91,96.91,96.8,96.87,325.0
2026-06-01 09:50:00+05:30,96.65,96.8,96.65,96.77,1131.0
2026-06-01 09:55:00+05:30,96.7,97.17,96.7,97.06,2686.0
2026-06-01 10:00:00+05:30,97.18,97.18,96.72,96.72,5599.0
2026-06-01 10:05:00+05:30,97.0,97.48,96.78,97.48,7519.0
2026-06-01 10:10:00+05:30,97.48,97.5,97.02,97.23,2763.0
2026-06-01 10:15:00+05:30,97.23,97.44,96.95,97.08,5622.0
2026-06-01 10:20:00+05:30,96.96,96.99,96.7,96.86,4204.0
2026-06-01 10:25:00+05:30,96.84,97.09,96.84,96.84,625.0
2026-06-01 10:30:00+05:30,97.19,97.19,96.83,96.83,1618.0
2026-06-01 10:35:00+05:30,96.83,97.0,96.83,96.96,36.0
2026-06-01 10:40:00+05:30,96.99,97.19,96.99,97.19,438.0
