dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,993.2,999.7,942.1,951.6,16675.0
2026-05-29 09:20:00+05:30,948.0,956.0,942.0,954.5,8110.0
2026-05-29 09:25:00+05:30,955.4,958.2,950.0,952.0,2019.0
2026-05-29 09:30:00+05:30,951.5,954.8,934.4,943.4,9512.0
2026-05-29 09:35:00+05:30,942.8,943.7,935.6,941.9,3682.0
2026-05-29 09:40:00+05:30,941.9,944.8,939.2,939.2,4897.0
2026-05-29 09:45:00+05:30,939.2,943.0,935.7,940.9,2317.0
2026-05-29 09:50:00+05:30,940.9,943.9,938.2,943.9,1736.0
2026-05-29 09:55:00+05:30,943.6,943.6,937.8,942.1,2515.0
2026-05-29 10:00:00+05:30,943.0,943.5,940.0,940.7,799.0
2026-05-29 10:05:00+05:30,940.7,949.9,940.7,945.7,3402.0
2026-05-29 10:10:00+05:30,945.5,950.0,942.3,949.9,4989.0
2026-05-29 10:15:00+05:30,950.9,950.9,942.2,946.2,2864.0
2026-05-29 10:20:00+05:30,946.2,947.8,945.1,947.8,713.0
2026-05-29 10:25:00+05:30,945.1,947.5,943.1,945.0,916.0
2026-05-29 10:30:00+05:30,942.1,949.2,941.2,948.0,3210.0
2026-05-29 10:35:00+05:30,949.2,951.4,943.9,944.1,4349.0
2026-05-29 10:40:00+05:30,946.6,949.0,945.1,948.5,1336.0
2026-05-29 10:45:00+05:30,948.5,948.5,942.0,943.2,1411.0
2026-05-29 10:50:00+05:30,945.6,946.7,943.0,946.4,1176.0
2026-05-29 10:55:00+05:30,946.0,953.8,946.0,952.8,4793.0
2026-05-29 11:00:00+05:30,953.0,954.4,950.6,953.7,636.0
2026-05-29 11:05:00+05:30,952.1,953.5,950.3,953.5,652.0
2026-05-29 11:10:00+05:30,953.4,957.0,952.1,952.1,1958.0
2026-05-29 11:15:00+05:30,954.9,955.0,952.4,952.4,374.0
2026-05-29 11:20:00+05:30,954.2,975.0,952.1,972.8,4878.0
2026-05-29 11:25:00+05:30,972.8,972.8,958.1,959.3,2747.0
2026-05-29 11:30:00+05:30,959.4,965.9,959.4,962.1,447.0
2026-05-29 11:35:00+05:30,962.1,962.1,958.0,958.0,439.0
