dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,470.05,474.5,468.35,473.55,4893.0
2026-05-29 09:20:00+05:30,473.55,474.5,468.2,473.05,3091.0
2026-05-29 09:25:00+05:30,473.05,473.05,472.05,472.15,618.0
2026-05-29 09:30:00+05:30,472.75,472.8,470.45,471.35,246.0
2026-05-29 09:35:00+05:30,472.4,472.4,470.55,471.7,591.0
2026-05-29 09:40:00+05:30,471.7,471.7,470.0,471.45,255.0
2026-05-29 09:45:00+05:30,471.95,471.95,470.7,470.85,203.0
2026-05-29 09:50:00+05:30,471.25,472.65,470.9,470.95,569.0
2026-05-29 09:55:00+05:30,471.95,472.55,471.15,471.15,253.0
2026-05-29 10:00:00+05:30,470.9,471.95,470.6,471.95,468.0
2026-05-29 10:05:00+05:30,472.45,472.45,471.0,471.0,181.0
2026-05-29 10:10:00+05:30,471.95,472.0,471.3,472.0,107.0
2026-05-29 10:15:00+05:30,471.4,471.9,471.05,471.8,600.0
2026-05-29 10:20:00+05:30,471.05,472.2,471.05,472.2,152.0
2026-05-29 10:25:00+05:30,472.2,472.2,471.0,471.0,280.0
2026-05-29 10:30:00+05:30,471.55,472.5,471.55,472.5,298.0
2026-05-29 10:35:00+05:30,472.5,476.7,472.2,476.7,6165.0
2026-05-29 10:40:00+05:30,476.5,476.9,475.7,475.7,569.0
2026-05-29 10:45:00+05:30,475.95,476.0,475.05,475.55,297.0
2026-05-29 10:50:00+05:30,475.55,476.85,475.2,476.45,848.0
2026-05-29 10:55:00+05:30,476.5,476.95,475.75,476.75,966.0
2026-05-29 11:00:00+05:30,476.75,476.75,476.15,476.4,164.0
2026-05-29 11:05:00+05:30,476.0,476.25,475.95,476.25,204.0
2026-05-29 11:10:00+05:30,476.25,476.25,475.55,475.8,43.0
2026-05-29 11:15:00+05:30,476.05,476.25,476.05,476.2,70.0
2026-05-29 11:20:00+05:30,475.7,476.85,475.1,476.35,1929.0
2026-05-29 11:25:00+05:30,476.35,476.7,476.05,476.1,39.0
2026-05-29 11:30:00+05:30,476.1,476.1,475.0,476.0,633.0
2026-05-29 11:35:00+05:30,475.4,475.85,475.0,475.85,582.0
2026-05-29 11:40:00+05:30,475.5,476.0,475.5,475.5,118.0
2026-05-29 11:45:00+05:30,475.5,475.85,475.5,475.85,123.0
2026-05-29 11:50:00+05:30,475.7,476.85,475.7,476.85,383.0
2026-05-29 11:55:00+05:30,476.85,476.85,475.55,475.55,83.0
2026-05-29 12:00:00+05:30,475.55,475.55,475.55,475.55,29.0
2026-05-29 12:05:00+05:30,475.85,475.95,475.5,475.55,365.0
