dt,open,high,low,close,volume
2026-05-29 09:15:00+05:30,202.4,203.75,202.38,203.33,107820.0
2026-05-29 09:20:00+05:30,203.33,203.98,202.9,203.24,57691.0
2026-05-29 09:25:00+05:30,203.22,203.23,202.5,202.9,61588.0
2026-05-29 09:30:00+05:30,202.86,204.2,202.62,203.42,63918.0
2026-05-29 09:35:00+05:30,203.27,203.47,202.7,202.81,28535.0
2026-05-29 09:40:00+05:30,202.98,203.2,201.64,201.82,56025.0
2026-05-29 09:45:00+05:30,201.65,202.5,201.5,202.5,77877.0
2026-05-29 09:50:00+05:30,202.67,202.8,202.1,202.1,17315.0
2026-05-29 09:55:00+05:30,202.08,202.08,201.25,201.44,34382.0
2026-05-29 10:00:00+05:30,201.47,201.59,200.65,201.45,36109.0
2026-05-29 10:05:00+05:30,201.5,202.07,201.5,202.07,22985.0
2026-05-29 10:10:00+05:30,202.13,202.8,202.0,202.56,26877.0
2026-05-29 10:15:00+05:30,202.7,202.81,202.22,202.69,18340.0
2026-05-29 10:20:00+05:30,202.6,202.92,202.34,202.89,27639.0
2026-05-29 10:25:00+05:30,202.88,202.94,202.11,202.2,27081.0
2026-05-29 10:30:00+05:30,202.38,202.6,202.18,202.55,6425.0
2026-05-29 10:35:00+05:30,202.53,202.66,202.33,202.42,6536.0
2026-05-29 10:40:00+05:30,202.55,202.65,202.29,202.29,6107.0
2026-05-29 10:45:00+05:30,202.03,202.03,200.77,201.17,41970.0
2026-05-29 10:50:00+05:30,201.3,201.59,200.45,200.75,40513.0
2026-05-29 10:55:00+05:30,200.75,201.0,200.75,201.0,13825.0
2026-05-29 11:00:00+05:30,201.0,201.1,200.63,200.75,27334.0
2026-05-29 11:05:00+05:30,200.74,200.74,200.4,200.54,26195.0
2026-05-29 11:10:00+05:30,200.5,200.5,200.1,200.39,17987.0
2026-05-29 11:15:00+05:30,200.19,200.55,200.1,200.41,24038.0
2026-05-29 11:20:00+05:30,200.4,200.4,199.75,200.21,78403.0
2026-05-29 11:25:00+05:30,200.19,200.19,199.9,200.09,29415.0
2026-05-29 11:30:00+05:30,200.09,200.6,200.03,200.31,14938.0
2026-05-29 11:35:00+05:30,200.31,200.5,200.16,200.32,11725.0
2026-05-29 11:40:00+05:30,200.32,200.32,200.11,200.23,6401.0
2026-05-29 11:45:00+05:30,200.35,200.47,200.16,200.46,5307.0
2026-05-29 11:50:00+05:30,200.4,200.49,200.25,200.43,10426.0
2026-05-29 11:55:00+05:30,200.43,200.43,200.0,200.19,11368.0
2026-05-29 12:00:00+05:30,200.19,200.35,200.01,200.35,8587.0
2026-05-29 12:05:00+05:30,200.25,200.35,200.15,200.35,4834.0
2026-05-29 12:10:00+05:30,200.35,200.35,199.7,200.0,41401.0
2026-05-29 12:15:00+05:30,199.95,200.17,199.9,200.0,9473.0
2026-05-29 12:20:00+05:30,200.01,200.4,200.0,200.16,6106.0
2026-05-29 12:25:00+05:30,200.33,200.6,200.22,200.55,15164.0
2026-05-29 12:30:00+05:30,200.41,200.52,199.95,199.98,31185.0
2026-05-29 12:35:00+05:30,199.98,200.34,199.92,200.34,10433.0
2026-05-29 12:40:00+05:30,200.31,200.45,200.0,200.2,5608.0
2026-05-29 12:45:00+05:30,200.2,200.59,200.04,200.2,15883.0
2026-05-29 12:50:00+05:30,200.14,200.34,199.64,200.0,36538.0
2026-05-29 12:55:00+05:30,199.94,200.0,199.8,199.81,3390.0
2026-05-29 13:00:00+05:30,199.85,199.85,199.5,199.68,10057.0
2026-05-29 13:05:00+05:30,199.67,199.81,199.54,199.71,1677.0
2026-05-29 13:10:00+05:30,199.8,199.82,199.0,199.26,52413.0
2026-05-29 13:15:00+05:30,199.26,199.37,198.88,199.03,53721.0
2026-05-29 13:20:00+05:30,199.01,199.24,199.01,199.2,7558.0
2026-05-29 13:25:00+05:30,199.19,199.31,199.07,199.11,5498.0
2026-05-29 13:30:00+05:30,199.11,199.22,199.0,199.0,18034.0
2026-05-29 13:35:00+05:30,198.98,198.98,198.77,198.8,6389.0
2026-05-29 13:40:00+05:30,198.77,198.8,198.51,198.69,14683.0
2026-05-29 13:45:00+05:30,198.74,199.04,198.6,198.9,14116.0
2026-05-29 13:50:00+05:30,198.91,199.26,198.85,199.1,7749.0
2026-05-29 13:55:00+05:30,199.18,199.44,199.0,199.0,16601.0
2026-05-29 14:00:00+05:30,199.0,199.18,198.9,199.0,20060.0
2026-05-29 14:05:00+05:30,199.0,199.0,198.86,198.99,7664.0
2026-05-29 14:10:00+05:30,199.0,199.19,198.74,199.19,9883.0
2026-05-29 14:15:00+05:30,199.18,199.38,199.1,199.38,3519.0
2026-05-29 14:20:00+05:30,199.38,199.38,199.01,199.37,11263.0
2026-05-29 14:25:00+05:30,199.38,200.0,199.38,199.4,87595.0
2026-05-29 14:30:00+05:30,199.5,199.85,199.49,199.84,11415.0
2026-05-29 14:35:00+05:30,199.84,199.84,199.69,199.8,6583.0
2026-05-29 14:40:00+05:30,199.84,200.75,199.84,200.7,55753.0
2026-05-29 14:45:00+05:30,200.76,200.8,199.96,200.15,25351.0
2026-05-29 14:50:00+05:30,200.15,200.2,199.96,199.99,15512.0
2026-05-29 14:55:00+05:30,199.99,199.99,199.77,199.98,18169.0
2026-05-29 15:00:00+05:30,199.97,199.98,199.2,199.6,58247.0
2026-05-29 15:05:00+05:30,199.65,199.65,199.3,199.46,25118.0
2026-05-29 15:10:00+05:30,199.46,199.7,199.0,199.3,30773.0
2026-05-29 15:15:00+05:30,199.29,199.29,198.79,198.96,43443.0
2026-05-29 15:20:00+05:30,198.95,199.2,198.77,198.98,53734.0
2026-05-29 15:25:00+05:30,199.0,200.5,198.5,199.8,96629.0
2026-06-01 09:15:00+05:30,202.73,202.73,199.8,200.8,91018.0
2026-06-01 09:20:00+05:30,200.88,200.9,200.06,200.76,25915.0
2026-06-01 09:25:00+05:30,200.81,201.7,200.64,200.87,35002.0
2026-06-01 09:30:00+05:30,201.0,201.3,200.55,200.75,40178.0
2026-06-01 09:35:00+05:30,200.75,200.75,199.5,199.8,38268.0
2026-06-01 09:40:00+05:30,199.72,200.17,199.0,199.0,42053.0
2026-06-01 09:45:00+05:30,199.26,199.75,199.02,199.47,28913.0
2026-06-01 09:50:00+05:30,199.63,199.7,199.0,199.11,9384.0
2026-06-01 09:55:00+05:30,199.31,199.65,199.0,199.36,31523.0
2026-06-01 10:00:00+05:30,199.18,199.36,198.52,198.8,69890.0
2026-06-01 10:05:00+05:30,198.64,198.9,198.42,198.42,34690.0
2026-06-01 10:10:00+05:30,198.56,198.56,197.9,197.95,27293.0
2026-06-01 10:15:00+05:30,197.95,198.3,197.83,198.0,18021.0
2026-06-01 10:20:00+05:30,197.95,198.07,197.6,198.0,19396.0
2026-06-01 10:25:00+05:30,198.0,198.09,197.9,197.91,6548.0
2026-06-01 10:30:00+05:30,198.0,198.25,197.5,197.5,40703.0
2026-06-01 10:35:00+05:30,197.5,198.06,197.01,198.06,28461.0
2026-06-01 10:40:00+05:30,198.08,198.7,197.85,198.7,17059.0
2026-06-01 10:45:00+05:30,198.78,199.34,198.59,199.05,23238.0
2026-06-01 10:50:00+05:30,199.3,199.76,199.3,199.74,29890.0
2026-06-01 10:55:00+05:30,199.75,199.95,199.17,199.42,19035.0
2026-06-01 11:00:00+05:30,199.43,200.5,199.35,200.38,26094.0
2026-06-01 11:05:00+05:30,200.43,201.3,200.43,201.28,34849.0
2026-06-01 11:10:00+05:30,201.09,201.24,200.61,200.95,18019.0
2026-06-01 11:15:00+05:30,201.0,201.58,200.73,201.36,42751.0
2026-06-01 11:20:00+05:30,201.27,201.5,200.84,200.84,16704.0
2026-06-01 11:25:00+05:30,200.8,200.8,200.22,200.29,13549.0
2026-06-01 11:30:00+05:30,200.27,200.45,199.54,199.95,11440.0
2026-06-01 11:35:00+05:30,200.17,200.17,199.85,199.86,4005.0
2026-06-01 11:40:00+05:30,199.86,200.19,199.86,200.05,5050.0
2026-06-01 11:45:00+05:30,200.16,200.34,199.64,199.87,9883.0
2026-06-01 11:50:00+05:30,199.9,200.0,199.6,199.74,10744.0
2026-06-01 11:55:00+05:30,199.74,199.74,198.75,198.75,11443.0
2026-06-01 12:00:00+05:30,198.97,199.17,198.85,198.9,2361.0
2026-06-01 12:05:00+05:30,199.0,199.28,198.85,199.15,7702.0
2026-06-01 12:10:00+05:30,199.17,199.2,198.86,199.0,10225.0
2026-06-01 12:15:00+05:30,198.99,199.0,198.94,198.94,1008.0
2026-06-01 12:20:00+05:30,198.94,198.99,198.69,198.81,6354.0
2026-06-01 12:25:00+05:30,198.92,198.99,198.8,198.99,980.0
2026-06-01 12:30:00+05:30,198.93,198.99,198.72,198.87,2075.0
2026-06-01 12:35:00+05:30,198.75,199.25,198.75,198.95,19529.0
2026-06-01 12:40:00+05:30,198.95,199.1,198.9,199.0,5356.0
