symbol,oi_prev
AMBER,1238200.0
DIXON,2428250.0
HAL,5152200.0
HEROMOTOCO,5078550.0
KEI,2065525.0
MCX,9077175.0
SOLARINDS,849550.0
TCS,17778150.0
ABB,1381875.0
ANGELONE,36607500.0
BAJAJ-AUTO,2249475.0
BOSCHLTD,230700.0
BSE,19134600.0
MARUTI,4623400.0
RELIANCE,108107500.0
TRENT,4961475.0
GAIL,37637100.0
GLENMARK,2700375.0
GMRAIRPORT,101004975.0
GODFRYPHLP,853600.0
GODREJCP,9336000.0
GODREJPROP,3874325.0
GRASIM,2619500.0
GVT&D,1474500.0
LAURUSLABS,17470900.0
LICHSGFIN,14780000.0
LICI,29836800.0
LODHA,6003750.0
LT,9346925.0
LTF,31569750.0
LTM,1356750.0
LUPIN,5995900.0
SAGILITY,79836000.0
SAIL,21009000.0
SBICARD,12669600.0
SBILIFE,4764000.0
SBIN,86135250.0
SHREECEM,105225.0
SHRIRAMFIN,20381625.0
SIEMENS,2116800.0
SONACOMS,11022550.0
SRF,1715800.0
SUNPHARMA,12421500.0
SUPREMEIND,820575.0
SUZLON,218084400.0
SWIGGY,40412800.0
CAMS,7944750.0
CANBK,123849000.0
CDSL,10944000.0
CGPOWER,10171100.0
CHOLAFIN,4231875.0
CIPLA,7580300.0
COALINDIA,71535150.0
COCHINSHIP,4435600.0
COFORGE,10447150.0
COLPAL,3879975.0
CONCOR,9980000.0
CROMPTON,35081550.0
CUMMINSIND,2094000.0
HAVELLS,4109500.0
HCLTECH,10103600.0
HDFCAMC,2485500.0
HDFCBANK,261338350.0
HDFCLIFE,28281000.0
HINDALCO,19846400.0
HINDPETRO,18605700.0
HINDUNILVR,15281700.0
HINDZINC,41567925.0
HYUNDAI,2360600.0
DABUR,24582500.0
DELHIVERY,17513000.0
DIVISLAB,2804100.0
DLF,14193950.0
DMART,2871750.0
DRREDDY,12280625.0
PAGEIND,129140.0
PATANJALI,10418900.0
PAYTM,19195100.0
PERSISTENT,2512125.0
PETRONET,11850300.0
PFC,53552200.0
PGEL,6669000.0
PHOENIXLTD,854000.0
PIDILITIND,1291000.0
PIIND,2316125.0
PNB,99640000.0
PNBHOUSING,2812550.0
POLICYBZR,2721250.0
POLYCAB,2892750.0
POWERGRID,50173300.0
POWERINDIA,491000.0
PREMIERENE,7545200.0
PRESTIGE,2800350.0
VBL,48614475.0
VEDL,54142000.0
VMM,37378950.0
VOLTAS,10379625.0
ZYDUSLIFE,6099300.0
BAJAJFINSV,7004100.0
BAJAJHLDNG,54750.0
BAJFINANCE,27344250.0
BANDHANBNK,44031600.0
BANKBARODA,79252875.0
BANKINDIA,58572800.0
BDL,12172425.0
BEL,64846050.0
BHARATFORG,4416500.0
BHARTIARTL,29302275.0
BHEL,48181875.0
BIOCON,34582500.0
BLUESTARCO,2457975.0
BPCL,17239775.0
BRITANNIA,1843500.0
EICHERMOT,2990300.0
ETERNAL,83192050.0
JINDALSTEL,7295625.0
JIOFIN,156484150.0
JSWENERGY,8420475.0
JSWSTEEL,11652525.0
JUBLFOOD,9470000.0
KALYANKJIL,42043050.0
KAYNES,3869400.0
KFINTECH,4647150.0
KOTAKBANK,94994000.0
KPITTECH,9007050.0
360ONE,3309000.0
ABCAPITAL,25544000.0
ADANIENSOL,13915125.0
ADANIENT,14051157.0
ADANIGREEN,10143600.0
ADANIPORTS,12738550.0
ADANIPOWER,101945350.0
ALKEM,443125.0
AMBUJACEM,20209200.0
APLAPOLLO,2633050.0
APOLLOHOSP,1763250.0
ASHOKLEY,135435000.0
ASIANPAINT,6778750.0
ASTRAL,3632050.0
ATHERENERG,6936375.0
AUBANK,11664000.0
AUROPHARMA,7427200.0
AXISBANK,26581250.0
OBEROIRLTY,3007550.0
OFSS,1271200.0
OIL,6615000.0
ONGC,66318750.0
RADICO,641400.0
RBLBANK,20373975.0
RECLTD,35895825.0
RVNL,41616575.0
NAM-INDIA,2551875.0
NATIONALUM,39766875.0
NAUKRI,3551900.0
NBCC,44356000.0
NESTLEIND,3550000.0
NHPC,62160800.0
NMDC,100953000.0
NTPC,53167500.0
NYKAA,11965625.0
TATACONSUM,8404000.0
TATAELXSI,1419625.0
TATAPOWER,65477650.0
TATASTEEL,161334250.0
TECHM,8361600.0
TIINDIA,1166800.0
TITAN,4696650.0
TMPV,80768000.0
TORNTPHARM,786125.0
TVSMOTOR,4927300.0
ULTRACEMCO,857550.0
UNIONBANK,62613750.0
UNITDSPR,2884000.0
UNOMINDA,2481600.0
UPL,14291185.0
WAAREEENER,3052350.0
WIPRO,98160000.0
FEDERALBNK,29617500.0
FORCEMOT,194675.0
FORTIS,2604775.0
ICICIBANK,34800500.0
ICICIGI,2244775.0
ICICIPRULI,5571275.0
IDEA,2484328050.0
IDFCFIRSTB,189154350.0
IEX,31063350.0
INDHOTEL,8830000.0
INDIANB,6476000.0
INDIGO,5160000.0
INDUSINDBK,7742700.0
INDUSTOWER,26181700.0
INFY,37163200.0
INOXWIND,70457600.0
IOC,59241000.0
IREDA,79535925.0
IRFC,82416600.0
ITC,155496675.0
M&M,10066600.0
MAHABANK,21014500.0
MANAPPURAM,25968000.0
MANKIND,1458250.0
MARICO,7117200.0
MAXHEALTH,4909275.0
MAZDOCK,4383225.0
MFSL,1765600.0
MOTHERSON,61327800.0
MOTILALOFS,3775800.0
MPHASIS,1297450.0
MUTHOOTFIN,7543250.0
YESBANK,498750700.0
