day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-08-03,M10,COLPAL,BUY,BUY-EX17,102,09:30,570,2101.5,,BREAKOUT,1,0,,0.438,0.791,FMCG,,,,,,,,-587.0,,-1.0,,100% SL 12:55,-804,-1.0,100% SL 13:10,0.48,1.64,0.16,0.48,-2.02,0.433,MIXED
2026-08-03,M10,HINDUNILVR,BUY,BUY-EX17,102,09:30,570,2120.6,,BREAKOUT,1,0,,0.438,0.645,FMCG,,,,,,,,-16.0,,-0.04,,OPEN,-46,-0.04,OPEN,0.27,0.66,0.27,0.27,-0.03,0.433,MIXED
2026-08-03,M10,JSWENERGY,BUY,BUY-EX17,102,09:30,570,565.9,,BREAKOUT,1,0,,0.438,4.198,ENE,,,,,,,,-75.0,,-0.1,,OPEN,-106,-0.1,OPEN,0.22,0.76,0.22,0.22,-0.15,0.433,MIXED
2026-08-03,M10,OFSS,BUY,BUY-EX6,105,09:30,570,11330.0,,BREAKOUT,1,0,,0.438,1.569,IT,,,,,,,,444.0,,0.71,,OPEN,416,0.64,OPEN,0.89,0.28,0.35,0.39,0.98,0.433,MIXED
2026-08-03,M10,PHOENIXLTD,BUY,BUY-EX17,102,09:30,570,1904.5,,BREAKOUT,1,0,,0.438,0.869,REALTY,,,,,,,,453.0,,0.83,,100% trail 13:30,365,0.83,100% trail 13:30,1.36,0.9,0.74,0.93,0.18,0.433,MIXED
2026-08-03,M10,PNBHOUSING,BUY,BUY-EX17,102,09:30,570,1066.8,,BREAKOUT,1,0,,0.438,3.272,FIN,,,,,,,,823.0,,1.24,,100% trail 11:30,736,1.03,100% trail 11:30,1.6,0.39,1.35,1.39,1.33,0.433,MIXED
2026-08-03,M10,SIEMENS,BUY,BUY-EX17,102,09:30,570,3801.6,,BREAKOUT,1,0,,0.438,3.727,CAPGOODS,,,,,,,,717.0,,0.86,,100% trail 13:00,808,0.96,OPEN,0.96,0.24,0.2,0.2,2.72,0.433,MIXED
2026-08-03,M10,BIOCON,BUY,BUY-EX17,102,09:40,580,426.3,,BREAKOUT,1,0,,0.438,0.07,PHA,,,,,,,,111.0,,0.31,,OPEN,37,0.49,100% trail 12:20,1.46,0.8,0.34,1.16,0.22,0.433,MIXED
2026-08-03,M10,CROMPTON,BUY,BUY-EX17,102,09:40,580,264.3,,BREAKOUT,1,0,,0.438,1.654,CDUR,,,,,,,,255.0,,0.41,,100% trail 13:15,167,0.38,100% trail 13:15,1.27,0.46,1.27,1.27,0.76,0.433,MIXED
2026-08-03,M10,DALBHARAT,BUY,BUY-EX12,111,09:55,595,1823.8,,BREAKOUT,1,0,,0.438,1.435,CEMENT,,,,,,,,212.0,,0.43,,100% trail 11:15,61,0.12,OPEN,0.78,0.28,0.66,0.78,0.19,0.433,MIXED
