day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s
2026-08-18,M2,BIOCON,BUY,BUY-EX5,104,09:40,580,415.8,,BREAKOUT,1,0,,0.671,0.922,PHA,,,,,,,,320.0,,0.72,,100% trail 10:35
2026-08-18,M2,CAMS,SELL,SELL-EX8,208,09:40,580,760.5,,BREAKOUT,1,0,,0.671,-2.029,CAPMKTS,,,,,,,,149.0,,0.2,,OPEN
2026-08-18,M2,INFY,SELL,SELL-EX3,203,09:30,570,1119.1,,BREAKOUT,1,0,,0.671,-1.825,IT,,,,,,,,216.0,,0.5,,OPEN
2026-08-18,M2,INOXWIND,SELL,SELL-EX8,208,09:40,580,76.08,,BREAKOUT,1,0,,0.671,-2.624,GREEN,,,,,,,,492.0,,0.55,,OPEN
2026-08-18,M2,KFINTECH,SELL,SELL-EX8,208,09:40,580,947.2,,BREAKOUT,1,0,,0.671,-2.652,CAPMKTS,,,,,,,,-264.0,,-0.3,,OPEN
2026-08-18,M2,LODHA,SELL,SELL-EX8,208,09:30,570,1229.4,,BREAKOUT,1,0,,0.671,-1.962,REALTY,,,,,,,,339.0,,0.38,,OPEN
2026-08-18,M2,MOTILALOFS,SELL,SELL-EX8,208,09:40,580,937.45,,BREAKOUT,1,0,,0.671,-1.838,CAPMKTS,,,,,,,,-15.0,,-0.02,,OPEN
2026-08-18,M2,NAM-INDIA,SELL,SELL-EX8,208,09:40,580,1169.3,,BREAKOUT,1,0,,0.671,-2.777,CAPMKTS,,,,,,,,-246.0,,-0.27,,OPEN
2026-08-18,M2,NMDC,SELL,SELL-EX1,201,09:45,585,83.91,,BREAKOUT,1,0,,0.671,-1.86,MET,,,,,,,,-119.0,,-0.14,,OPEN
2026-08-18,M2,RBLBANK,SELL,SELL-EX3,203,09:40,580,377.4,,BREAKOUT,1,0,,0.671,-1.075,BANK,,,,,,,,-697.0,,-1.0,,100% SL 13:45
2026-08-18,M2,SBICARD,SELL,SELL-EX8,208,09:30,570,628.65,,BREAKOUT,1,0,,0.671,-2.041,FIN,,,,,,,,967.0,,1.09,,OPEN
2026-08-18,M2,ALKEM,BUY,BUY-EX,101,10:00,600,5491.0,,BREAKOUT,1,0,,0.671,2.177,PHA,,,,,,,,-128.0,,-0.15,,OPEN
2026-08-18,M2,FORCEMOT,SELL,SELL-EX2,202,10:00,600,18366.0,,BREAKOUT,1,0,,0.671,-1.285,AUTO,,,,,,,,230.0,,0.32,,OPEN
2026-08-18,M2,JUBLFOOD,SELL,SELL-EX1,201,10:00,600,501.6,,BREAKOUT,1,0,,0.671,-1.935,CONSUMPTION,,,,,,,,-157.0,,-0.18,,OPEN
2026-08-18,M2,OFSS,BUY,BUY-EX6,105,10:00,600,11819.0,,BREAKOUT,1,0,,0.671,0.254,IT,,,,,,,,-293.0,,-1.0,,100% SL 12:10
2026-08-18,M2,ADANIENSOL,BUY,BUY-EX7,106,10:05,605,1607.0,,BREAKOUT,1,0,,0.671,1.126,ENE,,,,,,,,-159.0,,-0.3,,100% trail 12:10
2026-08-18,M2,ADANIGREEN,BUY,BUY-EX7,106,10:25,625,1330.3,,BREAKOUT,1,0,,0.671,0.203,GREEN,,,,,,,,-520.0,,-1.0,,100% SL 15:05
2026-08-18,M2,BOSCHLTD,BUY,BUY-EX,101,10:25,625,47730.0,,BREAKOUT,1,0,,0.671,1.618,AUTO,,,,,,,,1090.0,,2.12,,OPEN
2026-08-18,M2,ICICIPRULI,BUY,BUY-EX4,103,10:30,630,509.4,,BREAKOUT,1,0,,0.671,0.473,INSURANCE,,,,,,,,-559.0,,-1.0,,100% SL 10:55
2026-08-18,M2,JINDALSTEL,SELL,NORMAL SELL,280,10:15,615,1107.8,,BREAKOUT,1,0,,0.671,-0.744,MET,,,,,,,,257.0,,0.51,,OPEN
2026-08-18,M2,PAGEIND,SELL,SELL-EX8,208,10:05,605,36845.0,,BREAKOUT,1,0,,0.671,-1.378,CONSUMPTION,,,,,,,,335.0,,0.61,,OPEN
2026-08-18,M2,TATASTEEL,SELL,SELL-EX1,201,10:15,615,185.56,,BREAKOUT,1,0,,0.671,-0.237,MET,,,,,,,,132.0,,0.31,,OPEN
2026-08-18,M2,360ONE,BUY,BUY-EX,101,11:10,670,1175.0,,BREAKOUT,1,0,,0.671,0.171,CAPMKTS,,,,,,,,-542.0,,-0.92,,OPEN
2026-08-18,M2,ABB,SELL,SELL-EX2,202,11:00,660,7618.0,,BREAKOUT,1,0,,0.671,-0.548,CAPGOODS,,,,,,,,300.0,,0.81,,OPEN
2026-08-18,M2,APLAPOLLO,BUY,BUY-EX7,106,11:05,665,2099.1,,BREAKOUT,1,0,,0.671,0.855,MET,,,,,,,,366.0,,0.88,,OPEN
2026-08-18,M2,COCHINSHIP,BUY,BUY-EX,101,11:05,665,1496.7,,BREAKOUT,1,0,,0.671,2.668,DEF,,,,,,,,-155.0,,-0.32,,OPEN
2026-08-18,M2,ETERNAL,SELL,SELL-EX2,202,11:10,670,316.7,,BREAKOUT,1,0,,0.671,-0.409,NEWAGE,,,,,,,,-308.0,,-1.0,,100% SL 14:45
2026-08-18,M2,LTF,BUY,BUY-EX,101,10:45,645,316.1,,BREAKOUT,1,0,,0.671,0.349,FIN,,,,,,,,756.0,,0.85,,100% trail 14:35
2026-08-18,M2,MCX,BUY,BUY-EX4,103,11:00,660,2963.4,,BREAKOUT,1,0,,0.671,1.033,CAPMKTS,,,,,,,,1217.0,,3.08,,100% trail 14:25
2026-08-18,M2,SAIL,SELL,NORMAL SELL,280,10:45,645,171.7,,BREAKOUT,1,0,,0.671,-1.094,MET,,,,,,,,233.0,,0.27,,OPEN
2026-08-18,M2,FORTIS,SELL,SELL-EX2,202,11:50,710,906.35,,BREAKOUT,1,0,,0.671,-0.264,HOSPITALS,,,,,,,,-357.0,,-1.0,,100% SL 14:00
2026-08-18,M2,SUNPHARMA,SELL,SELL-EX2,202,12:00,720,1873.3,,BREAKOUT,1,0,,0.671,-0.462,PHA,,,,,,,,-291.0,,-1.0,,100% SL 15:10
2026-08-18,M2,360ONE,SELL,ENTRY SELL,290,09:20,560,1156.6,50,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.671,-1.398,CAPMKTS,,,,,,,,,,,,
2026-08-18,M2,ABB,BUY,BUY-EX17,102,09:30,570,7726.0,47,,0,0,weak EX variant (EX9+) blocked — B2 quality filter,0.671,0.862,CAPGOODS,,,,,,,,,,,,
2026-08-18,M2,ABCAPITAL,SELL,ENTRY SELL,290,09:20,560,396.35,39,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.671,-0.589,FIN,,,,,,,,,,,,
2026-08-18,M2,ADANIGREEN,SELL,ENTRY SELL,290,09:20,560,1319.5,183,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.671,-0.61,GREEN,,,,,,,,,,,,
2026-08-18,M2,ADANIPOWER,BUY,BUY-EX17,102,09:35,575,205.48,98,,0,0,weak EX variant (EX9+) blocked — B2 quality filter,0.671,0.943,ENE,,,,,,,,,,,,
