day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9C,63MOONS,BUY,ENTRY BUY,90,09:25,565,884.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,4.094,,,,,,,,,,,,,,C
2026-07-31,M9C,ACCELYA,SELL,ENTRY SELL,290,09:20,560,1138.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.568,,,,,,,,,,,,,,C
2026-07-31,M9C,AGIIL,BUY,ENTRY BUY,90,09:20,560,313.85,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.593,,,,,,,,,,,,,,C
2026-07-31,M9C,ANANTRAJ,BUY,ENTRY BUY,90,09:20,560,615.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.811,,,,,,,,,,,,,,C
2026-07-31,M9C,ANTELOPUS,BUY,ENTRY BUY,90,09:20,560,804.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.833,,,,,,,,,,,,,,C
2026-07-31,M9C,APARINDS,BUY,ENTRY BUY,90,09:25,565,14347.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,3.979,,,,,,,,,,,,,,C
2026-07-31,M9C,ARKADE,BUY,ENTRY BUY,90,09:20,560,143.11,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.518,,,,,,,,,,,,,,C
2026-07-31,M9C,ASHAPURMIN,SELL,ENTRY SELL,290,09:25,565,699.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.795,,,,,,,,,,,,,,C
2026-07-31,M9C,ASIANENE,BUY,ENTRY BUY,90,09:20,560,396.6,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.711,,,,,,,,,,,,,,C
2026-07-31,M9C,ASKAUTOLTD,BUY,ENTRY BUY,90,09:25,565,520.75,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.308,,,,,,,,,,,,,,C
